Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.664369,"19,002,461.25","12,624,647.12","136,165.86",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
LQ/ADA,0.3,77.788972,"127,958.39","9,953,752.18","649,082.31",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
WMT/ADA,0.3,0.69153,"9,317,646","6,443,436.44","240,946.10",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
PAVIA/ADA,0.3,0.099985,"12,364,858","1,236,311.14","168,513.86",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
XRAY/ADA,0.3,0.156273,"5,474,263","855,481.15","58,958.37",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
ADAX/ADA,0.3,0.332213,"2,509,157","833,574.84","54,664.91",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MELD/ADA,0.3,0.13396,"6,189,947.56","829,208.99","277,181.53",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
AADA/ADA,0.3,1.804083,"397,322.84","716,803.78","244,948.20",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
VYFI/ADA,0.3,1.705788,"316,381.07","539,679.11","67,533.86",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MILK/ADA,0.3,6.404726,"50,290","322,093.68","111,551.80",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
CLAP/ADA,0.3,0.036761,"5,415,406.97","199,076.72","41,253.99",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MINt/ADA,0.3,0.105643,"1,759,800.62","185,912.15","45,824.29",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
CHRLZ/ADA,0.3,0,"6,265,391,442,727","169,524.3",457.35,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
DANA/ADA,0.05,2.352403,"62,058.91","145,987.61","85,530.66",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
WMT/ADA,0.05,0.614993,"223,897.46","137,695.38",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
BISON/ADA,0.3,0,"93,366,744,185,510","109,727.15","1,586.82",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
ASHIB/ADA,1,0.000032,"3,177,681,146.51","103,490.15","5,738.47",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
FIRE/ADA,0.3,0.035341,"2,630,338","92,959.2","16,325.99",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
HOSKY/ADA,0.3,0,"1,091,357,028,925","63,246.18","45,732.40",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MELD/ADA,1,0.15462,"368,512.06","56,979.6","14,884.50",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MIN/ADA,0.3,0.339542,"150,389.16","51,063.55","64,821.12",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
FLICK/ADA,0.3,0.005023,"8,498,752","42,695.09",739.41,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
CNFT/ADA,0.3,0.00926,"4,556,954","42,200.17","23,286.79",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
cNETA/ADA,0.3,0.069498,"594,488","41,315.82","18,807.31",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
REVU/ADA,0.3,0.093577,"327,341.44","30,631.66","4,150.52",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
BDOGE/ADA,1,0.004563,"5,228,888","23,861.37",433.62,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MIN/ADA,0.05,0.350764,"66,295.94","23,254.28","1,471.74",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MINt/ADA,0.05,0.102697,"214,397.23","22,018.06","1,996.00",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
RAG/ADA,1,0.000731,"28,261,395","20,665.5",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
unsi…en/ADA,1,57.139218,359,"20,512.97","9,257.46",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
DRIP/ADA,1,0.002967,"6,221,498.92","18,461.17","9,530.98",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
GOKEY/ADA,0.3,0.015744,"1,163,050","18,311.5",287.04,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MONET/ADA,0.3,0.000755,"22,451,166.77","16,959.85",463.15,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
CDX/ADA,1,0.437264,"38,307","16,750.3","7,989.19",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
SKULL/ADA,1,0.191899,"87,243","16,741.92","14,325.57",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
XDIA…ND/ADA,1,21.986488,698,"15,346.56",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
RAVE/ADA,1,0.004987,"2,851,953","14,225.35","20,804.02",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
CARGO/ADA,0.3,0.316799,"41,149.51","13,036.15","7,932.34",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
DANA/ADA,0.3,2.188129,"5,648.72","12,360.13",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
cMETA/ADA,0.3,0.020881,"590,486","12,330.44",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
Card…rm/ADA,0.3,0.109152,"97,824","10,677.76",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
cbTHC/ADA,0.3,0.05153,"191,137.84","9,849.5",572.24,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
WMT/ADA,1,0.563914,"17,129.53","9,659.59",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
MEOW/ADA,0.3,0,"19,163,797,005","9,618.7","1,466.58",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
HOSKY/ADA,0.05,0,"133,060,707,081","9,107.61",646.28,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
FLANO/ADA,1,0.001153,"7,465,827","8,614.33",N/A,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
SHIBA/ADA,1,0.00003,"268,939,190","8,071.29","2,148.04",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
DRIP/ADA,0.3,0.00306,"2,632,597.64","8,056.84",752.25,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
FIRE/ADA,1,0.00016,"45,299,776","7,290.63",163.02,2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
Growth/ADA,1,0.019515,"339,577","6,627.01","1,724.32",2022-02-10 02:31:19.566562,2022-02-10,02:31:19,151
