Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.644515,"19,491,302.22","12,562,442.99","327,299.61",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
LQ/ADA,0.3,79.969979,"130,033.88","10,398,806.67","618,196.76",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
WMT/ADA,0.3,0.697431,"9,550,300.25","6,660,681.38","242,313.56",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
PAVIA/ADA,0.3,0.097977,"12,526,303","1,227,289.69","248,266.89",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
XRAY/ADA,0.3,0.16091,"5,467,433","879,769.96","63,401.12",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MELD/ADA,0.3,0.13871,"6,272,302.22","870,033.77","291,428.36",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
ADAX/ADA,0.3,0.322348,"2,547,724","821,255.89","52,303.79",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
AADA/ADA,0.3,1.805868,"395,529.64","714,274.68","227,773.21",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
VYFI/ADA,0.3,1.642236,"322,581.24","529,754.77","68,206.40",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MILK/ADA,0.3,6.660315,"49,513","329,772.18","138,421.27",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MINt/ADA,0.3,0.128732,"1,605,409.29","206,668.14","55,797.46",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
CLAP/ADA,0.3,0.038691,"5,306,524.27","205,319.39","53,360.27",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
CHRLZ/ADA,0.3,0,"6,263,651,986,954","169,141.18",452.34,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
DANA/ADA,0.05,2.207983,"64,469.39","142,347.34","56,957.94",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
WMT/ADA,0.05,0.614993,"227,617.46","139,983.15",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
BISON/ADA,0.3,0,"93,305,900,843,562","109,916.36","1,615.24",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
ASHIB/ADA,1,0.000032,"3,183,425,949.15","103,632.25","5,536.96",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
FIRE/ADA,0.3,0.036547,"2,585,509","94,493.38","16,575.76",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
HOSKY/ADA,0.3,0,"1,066,263,809,345","66,497.59","32,779.57",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MIN/ADA,0.3,0.437071,"136,485.17","59,653.84","53,134.57",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MELD/ADA,1,0.15462,"355,931.06","55,034.32","14,884.50",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
FLICK/ADA,0.3,0.005231,"8,328,638","43,574.13","2,899.93",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
cNETA/ADA,0.3,0.073689,"573,412","42,254.45","17,514.80",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
CNFT/ADA,0.3,0.009161,"4,289,796","39,300.16","23,998.38",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
unsi…en/ADA,1,55.805491,571,"31,864.93","2,551.21",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
REVU/ADA,0.3,0.093217,"328,064.26","30,581.29","7,997.69",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MONET/ADA,0.3,0.000776,"32,585,870.64","25,309.85",625.12,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MIN/ADA,0.05,0.410488,"61,286.17","25,157.28",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
BDOGE/ADA,1,0.004601,"5,196,038","23,909.61",332.62,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MINt/ADA,0.05,0.115125,"204,476.47","23,540.44","2,549.27",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
RAG/ADA,1,0.000726,"28,347,470","20,604.83",467.10,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
GOKEY/ADA,0.3,0.01566,"1,166,154","18,263.1",393.94,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
CDX/ADA,1,0.468077,"37,288","17,453.67","13,016.89",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
DRIP/ADA,1,0.002428,"6,997,723.07","16,992.36","9,918.71",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
XDIA…ND/ADA,1,21.986488,698,"15,346.56",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
SKULL/ADA,1,0.194106,"77,365","15,017.06","13,047.42",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
RAVE/ADA,1,0.0046,"2,975,117","13,688.06","13,532.62",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
cMETA/ADA,0.3,0.022588,"567,773","12,825.23",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
DANA/ADA,0.3,2.188129,"5,539.42","12,120.97",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
Card…rm/ADA,0.3,0.109152,"97,824","10,677.76",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
CARGO/ADA,0.3,0.210188,"50,542.67","10,623.5","7,637.87",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
WMT/ADA,1,0.563914,"17,516.75","9,877.95",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
cbTHC/ADA,0.3,0.051559,"191,164.11","9,856.25",466.50,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
MEOW/ADA,0.3,0,"19,034,387,548","9,454.96","1,215.46",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
FLANO/ADA,1,0.001153,"7,465,827","8,614.33",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
HOSKY/ADA,0.05,0,"142,101,227,204","8,487.89",592.99,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
SHIBA/ADA,1,0.000031,"262,753,820","8,264.25","1,823.15",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
DRIP/ADA,0.3,0.00306,"2,566,690.99","7,855.14",N/A,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
FIRE/ADA,1,0.000178,"43,103,397","7,703.91",375.62,2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
YAY/ADA,1,0.024235,"280,910","6,807.9","4,271.92",2022-02-10 13:58:46.777059,2022-02-10,13:58:46,838
