Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.739914,"25,684,191.52","19,004,116.91","640,192.66",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
LQ/ADA,0.3,105.354053,"152,508.5","16,067,388.69","1,250,291.62",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
WMT/ADA,0.3,0.812476,"14,322,177.23","11,636,427.63","1,081,512.15",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
MELD/ADA,0.3,0.134962,"11,036,136.08","1,489,461.27","497,554.99",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
XRAY/ADA,0.3,0.164264,"6,561,519","1,077,821.66","27,845.06",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
PAVIA/ADA,0.3,0.072699,"12,704,455","923,607.84","603,259.55",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
ADAX/ADA,0.3,0.353928,"2,464,569","872,281.13","61,358.89",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
AADA/ADA,0.3,2.020973,"382,438.03","772,897.16","135,934.28",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
VYFI/ADA,0.3,1.667527,"325,285.96","542,423.22","47,707.84",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
MILK/ADA,0.3,6.720346,"49,679","333,860.11","127,091.77",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
CLAP/ADA,0.3,0.033909,"5,720,424.38","193,977.49","11,377.53",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
MINt/ADA,0.3,0.10658,"1,805,509.01","192,432.46","73,952.09",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
CHRLZ/ADA,0.3,0,"6,833,883,678,251","154,490.8","1,104.68",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
DANA/ADA,0.05,2.17786,"70,221.9","152,933.53","98,648.96",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
WMT/ADA,0.05,0.812871,"176,299.35","143,308.74","1,398.63",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
RAVE/ADA,1,0.005494,"21,302,870","117,059.17","7,419.37",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
ASHIB/ADA,1,0.000033,"3,287,503,101.83","110,391.99","3,290.03",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
BISON/ADA,0.3,0,"96,878,406,717,803","96,411.86","2,741.08",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
FIRE/ADA,0.3,0.033142,"2,704,384","89,629.45","10,476.94",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
MIN/ADA,0.3,0.337388,"221,831.2","74,843.19","78,300.19",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
HOSKY/ADA,0.3,0,"962,100,625,041","70,110.99","46,056.74",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
SUNDAE/ADA,0.05,0.688636,"100,179.2","68,987.06","1,486.74",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
FLICK/ADA,0.3,0.006193,"9,014,359","55,832.25","3,170.70",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
SUNDAE/ADA,1,0.708963,"77,920.3","55,242.66","2,822.29",2022-02-15 23:15:39.535820,2022-02-15,23:15:39,1395
