Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.733948,"25,591,484.43","18,782,832.81","871,575.94",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
LQ/ADA,0.3,106.18921,"149,238.85","15,847,556.55","1,780,145.93",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
WMT/ADA,0.3,0.803933,"13,594,169.05","10,928,806.82","1,419,380.58",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MELD/ADA,0.3,0.135395,"9,976,782","1,350,812.8","410,087.80",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
PAVIA/ADA,0.3,0.10761,"10,637,635","1,144,720.6","203,890.35",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
XRAY/ADA,0.3,0.163028,"6,542,416","1,066,600.26","31,431.36",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
ADAX/ADA,0.3,0.339425,"2,517,327","854,445.71","102,366.76",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
AADA/ADA,0.3,2.057032,"376,855.18","775,203.43","127,356.61",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
VYFI/ADA,0.3,1.620048,"329,653.07","534,053.94","122,700.71",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MILK/ADA,0.3,6.490681,"50,696","329,051.56","194,261.80",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
CLAP/ADA,0.3,0.03513,"5,610,607.47","197,101.57","22,086.80",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MINt/ADA,0.3,0.110717,"1,732,677.5","191,838.02","76,687.69",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
CHRLZ/ADA,0.3,0,"6,825,138,696,516","154,687.98","1,344.23",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
DANA/ADA,0.05,2.184146,"69,732.72","152,306.47","86,867.70",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
WMT/ADA,0.05,0.812871,"175,619.8","142,756.35","2,799.33",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
RAVE/ADA,1,0.005467,"21,320,036","116,563.92","6,142.47",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
ASHIB/ADA,1,0.000034,"3,168,530,652.03","110,701.11","1,947.04",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
BISON/ADA,0.3,0,"97,220,145,896,934","97,712.73","1,941.27",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
FIRE/ADA,0.3,0.033065,"2,702,071","89,344.54","3,722.85",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
HOSKY/ADA,0.3,0,"987,936,182,270","67,564.45","45,894.12",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MIN/ADA,0.3,0.320572,"210,341.36","67,429.56","115,442.47",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
SUNDAE/ADA,0.05,0.657312,"93,685.17","61,580.4","1,000.50",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
FLICK/ADA,0.3,0.005919,"9,218,227","54,565.03","12,610.82",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
cNETA/ADA,0.3,0.096524,"508,894","49,120.98","9,018.39",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MELD/ADA,1,0.138095,"326,978.64","45,154.43","1,464.50",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
CNFT/ADA,0.3,0.013504,"3,308,437","44,678.05","3,274.49",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
REVU/ADA,0.3,0.107798,"309,874.03","33,403.96","6,307.30",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
DRIP/ADA,1,0.002874,"11,420,641.48","32,833.74","21,922.61",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
BDOGE/ADA,1,0.005393,"5,837,730","31,484.13","2,187.37",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
unsi…en/ADA,1,41.945935,718,"30,117.18","7,216.41",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
QUID/ADA,0.3,0.017458,"1,657,089","28,929.51","7,443.74",2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
MONET/ADA,0.3,0.000849,"33,524,545.34","28,491.08",382.10,2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
RAG/ADA,1,0.00075,"27,864,987","20,911.59",60.60,2022-02-15 08:15:39.996103,2022-02-15,08:15:39,495
