Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.671235,"23,015,357.83","15,448,728.76","1,975,442.14",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
LQ/ADA,0.3,92.320463,"144,448.85","13,335,585.3","922,228.03",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
WMT/ADA,0.3,0.804015,"12,424,027.34","9,989,108.26","924,373.31",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MELD/ADA,0.3,0.115867,"10,549,085.4","1,222,290.91","626,405.76",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
PAVIA/ADA,0.3,0.096773,"12,246,667","1,185,148.29","257,768.66",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
XRAY/ADA,0.3,0.169894,"6,309,128","1,071,884.59","16,398.65",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
ADAX/ADA,0.3,0.299525,"2,677,616","802,013.53","183,320.33",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
AADA/ADA,0.3,1.941891,"386,753.65","751,033.76","52,198.28",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
VYFI/ADA,0.3,1.644102,"341,539.42","561,525.97","115,961.02",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MILK/ADA,0.3,6.390165,"54,148","346,014.65","129,067.18",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MINt/ADA,0.3,0.123976,"1,637,525.98","203,015.21","46,369.28",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
CLAP/ADA,0.3,0.034912,"5,583,019.01","194,916.98","19,283.90",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
CHRLZ/ADA,0.3,0,"6,813,768,906,123","155,500.91","16,841.78",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
DANA/ADA,0.05,2.210163,"66,641.1","147,287.72","38,719.15",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
WMT/ADA,0.05,0.812849,"174,777.59","142,067.83","5,802.90",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
ASHIB/ADA,1,0.000034,"3,128,801,520.74","106,683.35","5,833.43",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
FIRE/ADA,0.3,0.037771,"2,527,641","95,473.3","49,793.90",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
BISON/ADA,0.3,0,"99,528,443,573,316","95,254.24","14,394.33",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
HOSKY/ADA,0.3,0,"964,189,848,223","74,092.12","52,467.25",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
FLICK/ADA,0.3,0.006345,"9,118,550","57,859.37","9,555.92",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MIN/ADA,0.3,0.288973,"188,485.79","54,467.31","77,693.64",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
cNETA/ADA,0.3,0.083884,"575,992","48,317.03","39,191.63",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
CNFT/ADA,0.3,0.012251,"3,494,112","42,809.32","5,207.02",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MELD/ADA,1,0.120907,"331,306.71","40,057.51","2,770.14",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
REVU/ADA,0.3,0.114725,"301,014.52","34,533.96","14,748.49",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
BDOGE/ADA,1,0.005909,"5,014,184","29,632.64","2,362.28",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
unsi…en/ADA,1,41.556906,711,"29,546.96","15,251.54",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MONET/ADA,0.3,0.000831,"33,887,142.92","28,182.58",200.36,2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
DRIP/ADA,1,0.00283,"9,051,562.88","25,623.82","9,034.11",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
SKULL/ADA,1,0.170179,"149,489","25,440.03","1,537.17",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
QUID/ADA,0.3,0.013688,"1,850,725","25,334.22",N/A,2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
MINt/ADA,0.05,0.123004,"174,759.48","21,496.17","1,334.37",2022-02-13 18:30:40.963175,2022-02-13,18:30:40,1110
