Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.732487,"25,593,287.64","18,746,754.39","1,010,354.56",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
LQ/ADA,0.3,106.394362,"149,029.23","15,855,870.27","1,769,751.74",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
WMT/ADA,0.3,0.79209,"13,591,283.67","10,765,525.9","1,356,009.62",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MELD/ADA,0.3,0.135657,"9,967,440.58","1,352,153.78","434,269.83",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
PAVIA/ADA,0.3,0.105735,"10,727,279","1,134,250.61","193,962.29",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
XRAY/ADA,0.3,0.162752,"6,549,458","1,065,938.72","31,981.48",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
ADAX/ADA,0.3,0.332773,"2,542,326","846,017.75","124,985.50",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
AADA/ADA,0.3,2.055638,"376,981.23","774,937.02","139,047.41",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
VYFI/ADA,0.3,1.648589,"326,779.75","538,725.72","122,886.49",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MILK/ADA,0.3,6.560999,"50,423","330,825.26","202,348.94",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
CLAP/ADA,0.3,0.03513,"5,610,607.47","197,101.57","22,400.29",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MINt/ADA,0.3,0.112231,"1,720,904.78","193,140.32","74,609.87",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
CHRLZ/ADA,0.3,0,"6,825,138,696,516","154,687.98","1,344.73",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
DANA/ADA,0.05,2.12228,"70,740.31","150,130.81","75,865.47",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
WMT/ADA,0.05,0.812871,"172,470.71","140,196.54","2,799.33",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
RAVE/ADA,1,0.005453,"21,347,232","116,413.92","6,615.76",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
ASHIB/ADA,1,0.000034,"3,170,025,977.82","110,753.36","1,981.24",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
BISON/ADA,0.3,0,"97,220,145,896,934","97,712.73","2,114.33",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
FIRE/ADA,0.3,0.033065,"2,702,071","89,344.54","7,599.88",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MIN/ADA,0.3,0.329437,"207,433.04","68,336.28","110,524.22",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
HOSKY/ADA,0.3,0,"990,109,854,172","67,408.14","50,027.96",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
FLICK/ADA,0.3,0.005919,"9,218,227","54,565.03","12,641.51",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
SUNDAE/ADA,0.05,0.657312,"82,455.18","54,198.79","1,000.50",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
cNETA/ADA,0.3,0.09649,"508,984","49,112.18","9,212.16",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MELD/ADA,1,0.138095,"326,978.64","45,154.43","1,464.50",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
CNFT/ADA,0.3,0.013342,"3,328,437","44,408.78","3,129.90",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
DRIP/ADA,1,0.003059,"11,068,821.76","33,860.85","20,664.77",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
REVU/ADA,0.3,0.105867,"312,683.21","33,102.96","6,005.39",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
BDOGE/ADA,1,0.005283,"5,897,823","31,160.13","1,860.64",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
unsi…en/ADA,1,41.945935,718,"30,117.18","7,216.41",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
QUID/ADA,0.3,0.017458,"1,657,089","28,929.51","7,545.04",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MONET/ADA,0.3,0.000849,"33,536,280.84","28,481.08",478.39,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
RAG/ADA,1,0.00075,"27,864,987","20,911.59",60.60,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
HOSKY/ADA,0.05,0,"280,946,566,944","20,810.26",678.24,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MINt/ADA,0.05,0.1049,"188,738.99","19,798.74","1,640.11",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
XDIA…ND/ADA,1,26.585731,736,"19,567.09","4,601.19",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MIN/ADA,0.05,0.337089,"56,851.04","19,163.89",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
GOKEY/ADA,0.3,0.016861,"1,118,636","18,861.63",993.72,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
SKULL/ADA,1,0.170985,"102,096","17,456.98","2,455.74",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
CDX/ADA,1,0.435282,"39,543","17,212.39","5,239.10",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
cMETA/ADA,0.3,0.039887,"427,625","17,057.01",565.68,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
DANA/ADA,0.3,2.188129,"6,532.08","14,293.05",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
MEOW/ADA,0.3,0,"15,413,652,135","13,149.18","3,798.90",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
KIDZ/ADA,0.3,0.000396,"32,690,499","12,959.99","5,112.61",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
CARGO/ADA,0.3,0.302374,"42,005.11","12,701.27","2,622.17",2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
Card…rm/ADA,0.3,0.109176,"97,815","10,679.11",50.65,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
WMT/ADA,1,0.768512,"13,645","10,486.36",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
cbTHC/ADA,0.3,0.046783,"201,383.13","9,421.46",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
LQ/ADA,1,100.801593,87.9,"8,860.54",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
DRIP/ADA,0.3,0.003002,"2,945,846.44","8,844.21",N/A,2022-02-15 06:30:39.618800,2022-02-15,06:30:39,390
