Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.74338,"25,549,290.32","18,992,852.7","620,105.72",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
LQ/ADA,0.3,107.196171,"150,418.25","16,124,261.54","1,252,428.73",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
WMT/ADA,0.3,0.804799,"13,720,012.63","11,041,853.99","1,388,512.47",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
MELD/ADA,0.3,0.127459,"10,830,978.97","1,380,513.14","408,271.16",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
PAVIA/ADA,0.3,0.110146,"10,570,992","1,164,361.25","211,021.37",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
XRAY/ADA,0.3,0.164687,"6,544,920","1,077,867.14","33,864.32",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
ADAX/ADA,0.3,0.346619,"2,491,386","863,563.37","62,000.79",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
AADA/ADA,0.3,2.043076,"380,013.5","776,396.75","150,572.74",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
VYFI/ADA,0.3,1.636995,"327,961.43","536,871.52","69,927.88",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
MILK/ADA,0.3,6.521541,"50,235","327,609.64","107,422.95",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
MINt/ADA,0.3,0.113033,"1,748,093.85","197,593.59","68,402.46",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
CLAP/ADA,0.3,0.034471,"5,664,116.06","195,248.33","12,152.06",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
CHRLZ/ADA,0.3,0,"6,832,941,676,456","154,511.89","1,067.18",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
DANA/ADA,0.05,2.169822,"69,965.08","151,811.84","85,667.50",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
WMT/ADA,0.05,0.812871,"173,638.48","141,145.79","2,799.33",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
RAVE/ADA,1,0.005362,"21,558,579","115,609.42","7,580.28",2022-02-15 15:45:41.548197,2022-02-15,15:45:41,945
