Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.761204,"25,989,398.04","19,783,258.5","784,369.27",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
LQ/ADA,0.3,109.535498,"155,412.56","17,023,193.08","825,461.63",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
WMT/ADA,0.3,0.871066,"15,026,131.68","13,088,766.02","1,152,289.18",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
MELD/ADA,0.3,0.12302,"12,344,493.22","1,518,629.34","369,407.81",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
PAVIA/ADA,0.3,0.080257,"12,670,082","1,016,870.74","400,033.73",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
XRAY/ADA,0.3,0.144601,"6,610,937","955,949.68","105,346.18",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
ADAX/ADA,0.3,0.359655,"2,458,034","884,046.54","48,199.97",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
AADA/ADA,0.3,2.086962,"411,800.27","859,411.63","578,880.06",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
VYFI/ADA,0.3,1.459175,"348,468.75","508,477.08","285,289.27",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
MILK/ADA,0.3,6.279021,"53,122","333,554.17","116,604.87",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
CLAP/ADA,0.3,0.033501,"5,775,932.51","193,502.22","10,028.65",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
MINt/ADA,0.3,0.108772,"1,687,895.26","183,597.38","59,130.80",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
DANA/ADA,0.05,2.147867,"72,415.85","155,539.69","70,923.65",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
CHRLZ/ADA,0.3,0,"6,825,328,027,635","154,685.8",427.90,2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
WMT/ADA,0.05,0.867273,"140,359.41","121,729.98","2,801.40",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
SUNDAE/ADA,0.05,0.758378,"154,336.64","117,045.62","5,456.63",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
RAVE/ADA,1,0.004948,"22,656,230","112,106.38","5,820.74",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
ASHIB/ADA,1,0.000028,"3,489,775,225.23","98,174.84","5,658.69",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
BISON/ADA,0.3,0,"95,797,216,166,173","97,421","9,023.08",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
FIRE/ADA,0.3,0.033226,"2,710,169","90,048.4","4,837.58",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
MIN/ADA,0.3,0.316812,"270,435.38","85,677.27","85,764.94",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
HOSKY/ADA,0.3,0,"1,096,528,477,986","62,458.93","25,827.84",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
FLICK/ADA,0.3,0.00637,"8,908,862","56,752.66","2,223.55",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
cNETA/ADA,0.3,0.09211,"523,907","48,257.18","5,457.70",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
CNFT/ADA,0.3,0.0119,"3,424,165","40,748.11","2,433.79",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
DRIP/ADA,1,0.002782,"12,633,233.44","35,155.92","10,524.28",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
REVU/ADA,0.3,0.107165,"301,078.51","32,265.26","12,767.08",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
unsi…en/ADA,1,43.658097,707,"30,866.27","4,531.61",2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
BDOGE/ADA,1,0.005337,"5,657,663","30,199.17",234.78,2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
MELD/ADA,1,0.131209,"218,247","28,636.11",N/A,2022-02-17 10:00:39.355432,2022-02-17,10:00:39,600
