Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.759469,"25,771,375.25","19,572,569.61","538,632.26",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
LQ/ADA,0.3,108.627523,"155,330.1","16,873,124.61","763,693.81",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
WMT/ADA,0.3,0.873528,"14,962,601.1","13,070,261","1,056,567.77",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
MELD/ADA,0.3,0.124387,"12,263,851.02","1,525,471.91","411,252.17",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
PAVIA/ADA,0.3,0.086967,"12,237,006","1,064,220.16","399,674.21",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
XRAY/ADA,0.3,0.149035,"6,498,876","968,564.43","83,720.64",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
ADAX/ADA,0.3,0.362898,"2,447,654","888,249.17","45,271.49",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
AADA/ADA,0.3,2.234568,"396,750.63","886,566.54","562,484.55",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
VYFI/ADA,0.3,1.706981,"321,888.46","549,457.78","53,794.41",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
MILK/ADA,0.3,6.534936,"52,063","340,228.42","108,872.40",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
CLAP/ADA,0.3,0.033258,"5,794,018.75","192,703.15","10,806.06",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
MINt/ADA,0.3,0.103475,"1,729,803.74","178,991.46","53,141.65",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
DANA/ADA,0.05,2.235617,"70,979.45","158,682.93","86,908.19",2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
CHRLZ/ADA,0.3,0,"6,821,336,170,991","154,776.05",357.71,2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
SUNDAE/ADA,0.05,0.69329,"182,025.15","126,196.4",354.08,2022-02-17 06:30:40.573086,2022-02-17,06:30:40,390
