Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.744569,"25,686,284.53","19,125,216.92","310,396.29",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
LQ/ADA,0.3,107.766938,"155,270.26","16,733,001.35","873,978.97",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
WMT/ADA,0.3,0.874693,"14,727,459.58","12,882,014.42","1,402,685.92",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
MELD/ADA,0.3,0.127784,"12,043,343.7","1,538,955.43","493,408.42",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
PAVIA/ADA,0.3,0.086115,"12,224,600","1,052,732.71","591,509.54",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
XRAY/ADA,0.3,0.156863,"6,529,682","1,024,267.04","62,372.43",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
ADAX/ADA,0.3,0.368095,"2,432,017","895,213.3","43,293.05",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
AADA/ADA,0.3,2.120954,"404,802.96","858,568.69","613,711.25",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
VYFI/ADA,0.3,1.710153,"321,189.26","549,282.96","68,897.97",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
MILK/ADA,0.3,6.453835,"52,025","335,760.77","124,095.49",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
MINt/ADA,0.3,0.106936,"1,826,827.35","195,354.78","40,494.01",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
CLAP/ADA,0.3,0.033319,"5,788,778.84","192,876.85","15,278.43",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
DANA/ADA,0.05,2.341794,"69,308.55","162,306.39","115,746.88",2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
CHRLZ/ADA,0.3,0,"6,821,380,111,353","154,775.05",356.71,2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
SUNDAE/ADA,0.05,0.69329,"180,593.9","125,204.12",354.08,2022-02-17 01:45:46.906167,2022-02-17,01:45:46,105
