Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.755333,"26,260,151.26","19,835,162.35","1,044,693.07",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
LQ/ADA,0.3,110.123504,"155,870.35","17,164,989.77","957,275.75",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
WMT/ADA,0.3,0.881167,"15,342,870.6","13,519,641.45","826,028.89",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
MELD/ADA,0.3,0.130816,"12,803,474.36","1,674,902.52","530,914.46",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
PAVIA/ADA,0.3,0.094372,"12,790,001","1,207,024.53","476,286.14",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
XRAY/ADA,0.3,0.146507,"6,566,236","962,003.56","111,542.06",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
ADAX/ADA,0.3,0.349553,"2,492,447","871,243.25","65,390.66",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
AADA/ADA,0.3,2.034141,"418,281.41","850,843.72","410,336.91",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
VYFI/ADA,0.3,1.580982,"334,806.61","529,323.34","303,187.97",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
MILK/ADA,0.3,5.72792,"57,357","328,536.35","293,441.34",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
MINt/ADA,0.3,0.101516,"1,757,940.85","178,459.8","63,474.90",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
CLAP/ADA,0.3,0.027022,"6,426,548.29","173,659.97","52,257.76",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
DANA/ADA,0.05,2.130461,"72,794.7","155,086.29","76,692.23",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
CHRLZ/ADA,0.3,0,"6,834,032,618,095","154,489.37",624.34,2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
SUNDAE/ADA,0.05,0.758378,"187,473.12","142,175.62","5,102.55",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
WMT/ADA,0.05,0.867273,"145,993","126,615.85","2,801.40",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
RAVE/ADA,1,0.004749,"23,173,450","110,066.33","8,568.21",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
BISON/ADA,0.3,0,"93,492,105,139,678","99,832.57","10,431.83",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
ASHIB/ADA,1,0.000028,"3,480,339,963.39","98,520.58","7,971.48",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
FIRE/ADA,0.3,0.033682,"2,691,812","90,667.89","6,099.34",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
MIN/ADA,0.3,0.309472,"272,626.96","84,370.6","75,429.32",2022-02-17 16:45:40.083839,2022-02-17,16:45:40,1005
