Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.744327,"25,685,283.21","19,118,266.03","319,998.55",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
LQ/ADA,0.3,105.13639,"154,553.11","16,249,156.12","699,566.72",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
WMT/ADA,0.3,0.864932,"14,684,215.97","12,700,857.73","1,373,546.93",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MELD/ADA,0.3,0.129764,"11,832,947.89","1,535,494.31","523,517.95",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
PAVIA/ADA,0.3,0.083031,"12,450,179","1,033,761.74","746,243.35",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
XRAY/ADA,0.3,0.160609,"6,436,225","1,033,721.46","22,410.48",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
ADAX/ADA,0.3,0.363434,"2,444,525","888,424.89","46,862.01",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
AADA/ADA,0.3,2.07878,"392,299.59","815,504.92","584,396.12",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
VYFI/ADA,0.3,1.64341,"327,704.72","538,553.35","66,008.68",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MILK/ADA,0.3,6.630884,"51,070","338,639.27","145,855.45",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MINt/ADA,0.3,0.108574,"1,812,296.42","196,769.96","48,165.50",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
CLAP/ADA,0.3,0.032891,"5,819,728.58","191,421.93","13,423.36",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
DANA/ADA,0.05,2.398995,"68,406.04","164,105.8","127,726.92",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
CHRLZ/ADA,0.3,0,"6,825,777,016,738","154,675.05",301.50,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
WMT/ADA,0.05,0.847085,"155,013.26","131,309.42","2,801.40",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
SUNDAE/ADA,0.05,0.69329,"183,048.65","126,905.98",354.08,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
RAVE/ADA,1,0.005022,"22,450,699","112,758.91","10,892.60",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
ASHIB/ADA,1,0.00003,"3,473,764,855.56","106,228.16","7,910.33",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
BISON/ADA,0.3,0,"98,212,365,896,535","95,026.24","2,807.69",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MIN/ADA,0.3,0.329407,"280,167.76","92,289.27","118,537.28",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
FIRE/ADA,0.3,0.032212,"2,749,279","88,562.13","9,177.59",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
HOSKY/ADA,0.3,0,"1,039,948,841,844","65,446.78","47,157.72",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
FLICK/ADA,0.3,0.006135,"9,077,600","55,694.45","5,274.86",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
cNETA/ADA,0.3,0.089962,"529,968","47,677.3","5,167.02",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
CNFT/ADA,0.3,0.011777,"3,441,777","40,534.31","10,562.22",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
DRIP/ADA,1,0.002563,"12,730,578.48","32,633.12","7,138.46",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
REVU/ADA,0.3,0.108833,"299,363.4","32,580.76","7,532.86",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
BDOGE/ADA,1,0.005337,"5,821,746","31,075.01",313.23,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
unsi…en/ADA,1,39.513087,742,"29,318.71","6,203.41",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MELD/ADA,1,0.131209,"219,441.27","28,792.81",N/A,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
QUID/ADA,0.3,0.017042,"1,680,252","28,636.09","2,227.84",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MONET/ADA,0.3,0.00085,"33,503,680.34","28,508.89",23.24,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
RAG/ADA,1,0.000729,"28,266,486","20,617.5",294.09,2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MINt/ADA,0.05,0.108286,"182,794.8","19,794.18","1,435.32",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
XDIA…ND/ADA,1,26.438263,741,"19,590.75","3,488.25",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
HOSKY/ADA,0.05,0,"305,383,960,021","19,182.95","5,251.77",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
MIN/ADA,0.05,0.306404,"59,564.88","18,250.96","1,225.02",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
GOKEY/ADA,0.3,0.015135,"1,186,782","17,962.67","2,347.87",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
SKULL/ADA,1,0.152763,"115,252","17,606.31","1,805.03",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
CDX/ADA,1,0.445127,"39,298","17,492.63","1,186.56",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
cMETA/ADA,0.3,0.032805,"475,012","15,582.92","2,806.74",2022-02-16 20:30:39.892527,2022-02-16,20:30:39,1230
