Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.725538,"25,307,993.79","18,361,934.88","1,891,083.28",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
LQ/ADA,0.3,101.406135,"147,722.12","14,979,930.11","1,310,105.15",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
WMT/ADA,0.3,0.827204,"12,728,122.03","10,528,757.65","617,116.30",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MELD/ADA,0.3,0.126045,"10,242,211.39","1,290,988.42","476,331.85",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
PAVIA/ADA,0.3,0.100503,"10,801,623","1,085,604.57","177,396.96",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
XRAY/ADA,0.3,0.160966,"6,525,433","1,050,378.62","59,064.69",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
ADAX/ADA,0.3,0.315921,"2,605,491","823,129.68","118,803.84",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
AADA/ADA,0.3,1.808035,"401,546.65","726,010.41","64,162.44",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
VYFI/ADA,0.3,1.527798,"332,546.57","508,064.29","124,659.25",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MILK/ADA,0.3,6.621741,"49,913","330,510.97","182,419.03",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MINt/ADA,0.3,0.128197,"1,609,559.44","206,341.91","52,465.08",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
CLAP/ADA,0.3,0.034146,"5,679,224.92","193,928.36","19,570.00",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
CHRLZ/ADA,0.3,0,"6,828,541,503,677","155,122.27",850.61,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
DANA/ADA,0.05,2.059712,"69,224.13","142,581.79","45,795.34",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
WMT/ADA,0.05,0.812849,"166,055.51","134,978.1",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
RAVE/ADA,1,0.005423,"21,406,963","116,104.13","3,792.72",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
ASHIB/ADA,1,0.000034,"3,165,143,734.83","108,065.19",948.07,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
BISON/ADA,0.3,0,"98,305,076,066,387","96,684.81","1,716.62",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
FIRE/ADA,0.3,0.030001,"2,877,704","86,335.57","9,454.79",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
HOSKY/ADA,0.3,0,"886,818,072,493","75,108.66","42,541.15",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MIN/ADA,0.3,0.321835,"208,386.06","67,066.13","160,565.38",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
FLICK/ADA,0.3,0.00619,"9,011,063","55,785.56","3,961.59",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
cNETA/ADA,0.3,0.094842,"512,628","48,619.04","16,764.72",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
CNFT/ADA,0.3,0.012988,"3,373,325","43,815.98","4,640.80",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MELD/ADA,1,0.12941,"337,718.46","43,704.43","1,503.89",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
REVU/ADA,0.3,0.10925,"307,796.26","33,626.89","5,514.52",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
BDOGE/ADA,1,0.005472,"5,794,588","31,708.92","2,885.47",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
unsi…en/ADA,1,45.473946,686,"31,195.12","4,805.27",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
DRIP/ADA,1,0.002874,"9,926,883.01","28,531.92","19,436.12",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MONET/ADA,0.3,0.000839,"33,737,052.55","28,311.08",308.89,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
QUID/ADA,0.3,0.014763,"1,797,916","26,542.93","5,178.35",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
SKULL/ADA,1,0.163845,"152,594","25,001.91","1,546.32",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MINt/ADA,0.05,0.123004,"174,293.46","21,438.85",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
RAG/ADA,1,0.00075,"27,894,910","20,934.05",308.05,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
XDIA…ND/ADA,1,26.227726,740,"19,408.51","4,999.22",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MIN/ADA,0.05,0.337089,"56,851.04","19,163.89","5,125.21",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
GOKEY/ADA,0.3,0.016594,"1,127,575","18,711.63",843.27,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
HOSKY/ADA,0.05,0,"219,106,492,457","17,305.06",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
cMETA/ADA,0.3,0.039329,"430,645","16,937.01",835.03,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
CDX/ADA,1,0.421036,"40,194","16,923.12","3,765.53",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
MEOW/ADA,0.3,0.000001,"12,842,228,360","15,750.49","1,982.66",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
DANA/ADA,0.3,2.188129,"6,546","14,323.49",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
CARGO/ADA,0.3,0.300569,"42,115.14","12,658.54","3,356.64",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
KIDZ/ADA,0.3,0.000324,"36,131,552","11,722.19","3,919.14",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
WMT/ADA,1,0.768512,"14,365.69","11,040.22",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
Card…rm/ADA,0.3,0.110195,"97,361","10,728.76",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
cbTHC/ADA,0.3,0.046783,"201,381.23","9,421.38",68.34,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
DRIP/ADA,0.3,0.003002,"2,920,245.76","8,767.35",N/A,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
FLANO/ADA,1,0.001174,"7,401,613","8,690.39",80.80,2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
SHIBA/ADA,1,0.000022,"369,142,690","8,176.78","9,116.48",2022-02-14 20:00:45.710769,2022-02-14,20:00:45,1200
