Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.761327,"26,172,316.54","19,925,712.06","1,178,190.04",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
LQ/ADA,0.3,111.45115,"156,248.6","17,414,086.96","827,928.42",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
WMT/ADA,0.3,0.876645,"15,417,964.94","13,516,090.43","901,422.76",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MELD/ADA,0.3,0.129159,"12,909,034.54","1,667,319.44","470,181.22",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
PAVIA/ADA,0.3,0.098387,"12,786,808","1,258,061.5","488,847.33",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
XRAY/ADA,0.3,0.141377,"6,681,146","944,562.87","155,172.30",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
ADAX/ADA,0.3,0.350127,"2,491,038","872,179.96","61,136.97",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
AADA/ADA,0.3,2.060944,"416,289.69","857,950.08","337,109.77",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
VYFI/ADA,0.3,1.542526,"339,380.12","523,502.72","318,394.68",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MILK/ADA,0.3,5.508329,"58,528","322,391.49","316,318.22",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MINt/ADA,0.3,0.105598,"1,718,094.7","181,427.68","65,245.68",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
CLAP/ADA,0.3,0.028458,"6,273,116.4","178,523.39","64,463.50",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
CHRLZ/ADA,0.3,0,"6,834,685,596,227","154,474.71",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
DANA/ADA,0.05,2.081671,"73,613.51","153,239.18","63,256.75",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
WMT/ADA,0.05,0.867273,"145,903.48","126,538.21","1,400.70",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
RAVE/ADA,1,0.004889,"22,881,030","111,883.62","8,797.07",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
SUNDAE/ADA,0.05,0.752817,"141,265.88","106,347.44","5,489.17",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
BISON/ADA,0.3,0,"93,434,778,543,439","99,894.03","10,088.83",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
ASHIB/ADA,1,0.000028,"3,470,753,000.19","98,795.69",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
FIRE/ADA,0.3,0.032546,"2,738,560","89,131.27","7,077.44",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MIN/ADA,0.3,0.3015,"273,648.96","82,505.38","58,469.54",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
HOSKY/ADA,0.3,0,"1,203,220,178,635","58,217.05","48,165.38",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
FLICK/ADA,0.3,0.006471,"8,850,594","57,277.24","3,983.55",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
cNETA/ADA,0.3,0.089283,"528,303","47,168.68","5,746.77",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
CNFT/ADA,0.3,0.011762,"3,444,165","40,512.19",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
DRIP/ADA,1,0.00286,"12,584,051.49","35,999.9","11,954.09",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
REVU/ADA,0.3,0.116284,"291,362","33,880.93","21,660.59",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
unsi…en/ADA,1,46.081757,689,"31,750.33",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
BDOGE/ADA,1,0.005154,"5,757,663","29,679.82",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MONET/ADA,0.3,0.000851,"33,491,967.69","28,518.89",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MELD/ADA,1,0.129244,"219,936.9","28,425.66",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
QUID/ADA,0.3,0.016647,"1,700,306","28,305.72",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
CARGO/ADA,0.3,0.422469,"50,043.22","21,141.71","4,206.72",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
RAG/ADA,1,0.000745,"27,966,106","20,858.79",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
XDIA…ND/ADA,1,26.600465,741,"19,710.94",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MINt/ADA,0.05,0.100723,"186,496.52","18,784.52",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MIN/ADA,0.05,0.305036,"59,977.33","18,295.25",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
SKULL/ADA,1,0.141119,"122,931","17,347.93",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
KIDZ/ADA,0.3,0.000651,"26,515,693","17,270.71","3,761.12",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
CDX/ADA,1,0.422238,"40,384","17,051.66","3,036.14",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
HOSKY/ADA,0.05,0,"353,385,932,767","16,756.3","5,343.13",2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
GOKEY/ADA,0.3,0.011221,"1,389,743","15,595.6",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
cMETA/ADA,0.3,0.032847,"474,709","15,592.92",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
DANA/ADA,0.3,2.117409,"6,463.79","13,686.49",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
MEOW/ADA,0.3,0,"15,845,841,087","12,821.17",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
WMT/ADA,1,0.849174,"13,355.9","11,341.5",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
Card…rm/ADA,0.3,0.109,"97,894","10,670.52",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
cbTHC/ADA,0.3,0.04938,"195,716.93","9,664.52",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
FLANO/ADA,1,0.001187,"8,007,922","9,507.26",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
LQ/ADA,0.05,108.504181,87.35,"9,478.81",N/A,2022-02-17 22:15:42.659742,2022-02-17,22:15:42,1335
