Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.742063,"25,588,971.37","18,988,649.27","693,128.49",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
LQ/ADA,0.3,107.059265,"150,611.94","16,124,403.89","1,239,469.42",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
WMT/ADA,0.3,0.806746,"13,780,250.55","11,117,171.14","1,362,398.82",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MELD/ADA,0.3,0.127995,"10,918,378.53","1,397,507.38","406,666.68",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
XRAY/ADA,0.3,0.164721,"6,544,269","1,077,980.45","33,397.63",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
PAVIA/ADA,0.3,0.093509,"11,441,912","1,069,930.57","289,657.78",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
ADAX/ADA,0.3,0.346551,"2,491,634","863,478.38","57,858.95",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
AADA/ADA,0.3,2.054373,"378,970.76","778,547.45","150,505.84",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
VYFI/ADA,0.3,1.649402,"326,431.89","538,417.68","71,162.04",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MILK/ADA,0.3,6.496239,"50,361","327,157.11","100,723.70",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MINt/ADA,0.3,0.115887,"1,726,501.9","200,079.22","71,943.36",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
CLAP/ADA,0.3,0.034384,"5,671,313.1","195,004.32","12,388.28",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
CHRLZ/ADA,0.3,0,"6,831,883,678,251","154,535.89","1,091.25",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
DANA/ADA,0.05,2.215985,"69,234.15","153,421.87","98,811.25",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
WMT/ADA,0.05,0.812871,"174,020.72","141,456.51","2,799.33",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
RAVE/ADA,1,0.005365,"21,552,494","115,642.39","7,349.36",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
ASHIB/ADA,1,0.000033,"3,280,489,101.83","110,624.72","4,128.69",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
BISON/ADA,0.3,0,"97,720,469,986,559","97,216.49","2,674.90",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
FIRE/ADA,0.3,0.034459,"2,648,567","91,267.99","7,888.31",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
SUNDAE/ADA,0.05,0.688636,"114,041.71","78,533.28","2,487.24",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MIN/ADA,0.3,0.324502,"222,691.58","72,264.02","49,376.83",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
HOSKY/ADA,0.3,0,"974,122,065,326","68,161.42","37,281.39",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
FLICK/ADA,0.3,0.006214,"8,999,007","55,925.5","13,416.57",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
SUNDAE/ADA,1,0.708963,"77,897.52","55,226.51","2,822.29",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
cNETA/ADA,0.3,0.08908,"528,942","47,118.65","11,128.97",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
CNFT/ADA,0.3,0.014305,"3,219,008","46,049.43","2,779.66",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MELD/ADA,1,0.131209,"307,204.11","40,308.15","2,517.04",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
REVU/ADA,0.3,0.105743,"312,899.55","33,087.16","2,971.01",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
DRIP/ADA,1,0.002644,"12,006,358.05","31,752.77","17,008.78",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
BDOGE/ADA,1,0.005446,"5,809,491","31,641.09","1,956.87",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
unsi…en/ADA,1,42.600273,713,"30,373.99","3,270.45",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
QUID/ADA,0.3,0.017296,"1,664,887","28,797.23","3,505.59",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MONET/ADA,0.3,0.000849,"33,523,372.24","28,492.08",264.61,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
RAG/ADA,1,0.000737,"28,117,008","20,726.01",185.58,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MINt/ADA,0.05,0.111367,"182,755.14","20,353.06","2,240.41",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
HOSKY/ADA,0.05,0,"290,642,481,888","20,020.18","1,420.28",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
XDIA…ND/ADA,1,27.068102,730,"19,759.71",592.65,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
GOKEY/ADA,0.3,0.016861,"1,125,784","18,982.15",270.40,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MIN/ADA,0.05,0.314679,"58,841.07","18,516.07","4,129.30",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
SKULL/ADA,1,0.16519,"110,825","18,307.19","1,848.78",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
CDX/ADA,1,0.436189,"39,549","17,250.85","2,097.13",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
cMETA/ADA,0.3,0.04007,"429,673","17,217.02",258.04,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
DANA/ADA,0.3,2.188129,"6,587.41","14,414.11",N/A,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
KIDZ/ADA,0.3,0.000411,"33,377,079","13,732.65","11,785.04",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
MEOW/ADA,0.3,0,"15,286,442,250","13,281.36","3,807.62",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
CARGO/ADA,0.3,0.303274,"41,945.81","12,721.11","1,900.97",2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
Card…rm/ADA,0.3,0.109167,"97,819","10,678.67",50.08,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
WMT/ADA,1,0.768512,"13,807.44","10,611.19",N/A,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
FLANO/ADA,1,0.001177,"8,027,761","9,455.39",40.40,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
cbTHC/ADA,0.3,0.046783,"201,383.07","9,421.46",N/A,2022-02-15 17:30:41.621662,2022-02-15,17:30:41,1050
