Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.75617,"26,105,442.26","19,740,164.47","915,206.06",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
LQ/ADA,0.3,109.446505,"155,559.79","17,025,476.3","805,600.71",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
WMT/ADA,0.3,0.872218,"15,338,513.73","13,378,533.22","1,162,622.97",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
MELD/ADA,0.3,0.123185,"12,347,299.2","1,521,004.22","354,183.14",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
PAVIA/ADA,0.3,0.080536,"12,649,334","1,018,728.26","357,676.16",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
XRAY/ADA,0.3,0.144689,"6,608,611","956,194.23","105,394.38",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
ADAX/ADA,0.3,0.360745,"2,454,325","885,386.97","41,323.74",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
AADA/ADA,0.3,2.106411,"410,049.56","863,733.18","501,039.65",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
VYFI/ADA,0.3,1.480629,"345,941.68","512,211.46","291,123.55",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
MILK/ADA,0.3,6.309858,"52,764","332,933.36","114,771.00",2022-02-17 11:15:33.898771,2022-02-17,11:15:33,675
