Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.69235,"24,542,578.15","16,992,075.62","1,353,269.79",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
LQ/ADA,0.3,93.108624,"145,388.25","13,536,900.26","560,220.64",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
WMT/ADA,0.3,0.812848,"12,481,947.75","10,145,936.57","692,987.38",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MELD/ADA,0.3,0.130097,"10,017,996.56","1,303,318.46","714,590.97",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
PAVIA/ADA,0.3,0.100481,"12,037,098","1,209,507.48","236,465.38",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
XRAY/ADA,0.3,0.16904,"6,361,509","1,075,355.46","43,356.55",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
ADAX/ADA,0.3,0.291688,"2,710,918","790,742.97","175,301.64",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
AADA/ADA,0.3,1.854448,"395,424.27","733,293.83","66,459.16",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
VYFI/ADA,0.3,1.644284,"335,365.01","551,435.55","88,911.00",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MILK/ADA,0.3,6.34024,"51,081","323,865.8","100,192.84",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MINt/ADA,0.3,0.131131,"1,591,157.46","208,650.38","40,055.10",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
CLAP/ADA,0.3,0.034081,"5,650,777.68","192,588.93","14,947.26",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
CHRLZ/ADA,0.3,0,"6,816,246,303,328","155,400.64","3,237.33",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
DANA/ADA,0.05,2.172943,"67,477.98","146,625.87","17,362.96",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
WMT/ADA,0.05,0.812849,"172,604.39","140,301.35","3,301.65",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
ASHIB/ADA,1,0.000034,"3,168,476,185.97","107,839.9","4,589.22",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
BISON/ADA,0.3,0,"98,751,694,926,045","96,200.92","2,982.85",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
FIRE/ADA,0.3,0.036851,"2,559,194","94,308.93","37,444.56",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
HOSKY/ADA,0.3,0,"976,600,842,121","74,830.3","43,098.36",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MIN/ADA,0.3,0.311093,"200,577.53","62,398.38","117,874.63",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
FLICK/ADA,0.3,0.006094,"9,305,970","56,714.19","11,498.77",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
cNETA/ADA,0.3,0.096036,"496,362","47,668.66","40,346.11",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MELD/ADA,1,0.12941,"342,704.76","44,349.72","2,807.61",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
CNFT/ADA,0.3,0.011613,"3,584,118","41,625.31","3,182.07",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
REVU/ADA,0.3,0.11477,"301,368.62","34,588.3","7,722.12",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
unsi…en/ADA,1,44.869986,687,"30,825.68","11,425.38",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
BDOGE/ADA,1,0.005279,"5,587,605","29,499.29","2,563.73",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
DRIP/ADA,1,0.003077,"9,456,598.51","29,103.24","13,874.55",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MONET/ADA,0.3,0.000843,"33,640,689.82","28,391.68",258.87,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
QUID/ADA,0.3,0.01397,"1,841,113","25,721.08","1,552.41",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
SKULL/ADA,1,0.149529,"159,588","23,863.17","1,889.16",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MINt/ADA,0.05,0.123004,"174,269.07","21,435.85",889.99,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
RAG/ADA,1,0.000746,"27,961,090","20,864.14",N/A,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
XDIA…ND/ADA,1,27.041742,727,"19,659.34","1,474.12",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
GOKEY/ADA,0.3,0.016292,"1,137,899","18,539.36",72.89,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MIN/ADA,0.05,0.309265,"59,853.88","18,510.72","4,344.01",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
CDX/ADA,1,0.46495,"38,906","18,089.37","2,699.50",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
cMETA/ADA,0.3,0.038193,"436,987","16,689.84",815.20,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
MEOW/ADA,0.3,0.000001,"12,934,177,368","15,638.18","6,154.63",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
RAVE/ADA,1,0.005212,"2,980,766","15,536.2","3,757.38",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
DANA/ADA,0.3,2.188129,"6,764.14","14,800.82",N/A,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
CARGO/ADA,0.3,0.335206,"40,066.59","13,430.56","2,148.43",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
HOSKY/ADA,0.05,0,"146,156,839,942","11,543.48","1,130.95",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
WMT/ADA,1,0.768512,"14,574.99","11,201.07",N/A,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
SHIBA/ADA,1,0.000041,"266,074,834","11,054.39","4,994.78",2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
Card…rm/ADA,0.3,0.110195,"97,361","10,728.76",N/A,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
cbTHC/ADA,0.3,0.046783,"201,341.03","9,419.49",832.28,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
DRIP/ADA,0.3,0.003002,"2,995,282.04","8,992.63",450.35,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
FLANO/ADA,1,0.001167,"7,422,752","8,665.39",N/A,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
FIRE/ADA,1,0.000183,"43,742,262","8,043.83",852.94,2022-02-14 05:00:40.798883,2022-02-14,05:00:40,300
