Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.744327,"25,685,283.21","19,118,266.03",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
LQ/ADA,0.3,105.557443,"154,731.29","16,333,039.78","670,631.85",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
WMT/ADA,0.3,0.872326,"14,680,613.17","12,806,290.21","1,389,060.83",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MELD/ADA,0.3,0.129356,"11,934,679.39","1,543,834.17","502,138.76",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
PAVIA/ADA,0.3,0.085932,"12,249,272","1,052,609.06","672,710.80",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
XRAY/ADA,0.3,0.16125,"6,429,622","1,036,782.61","24,222.88",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
ADAX/ADA,0.3,0.364511,"2,440,917","889,743.07","41,360.25",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
AADA/ADA,0.3,2.122241,"400,748.89","850,485.84","598,966.57",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
VYFI/ADA,0.3,1.664899,"325,586.36","542,068.53","66,856.97",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MILK/ADA,0.3,6.420785,"52,126","334,689.88","123,799.51",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MINt/ADA,0.3,0.107944,"1,818,955.28","196,345.32","41,440.59",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
CLAP/ADA,0.3,0.032819,"5,826,195.24","191,210.11","13,432.91",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
DANA/ADA,0.05,2.350964,"69,162.3","162,598.1","133,588.39",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
CHRLZ/ADA,0.3,0,"6,825,777,016,738","154,675.05",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
SUNDAE/ADA,0.05,0.69329,"182,068.27","126,226.29",354.08,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
WMT/ADA,0.05,0.847085,"142,495.45","120,705.77","2,801.40",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
RAVE/ADA,1,0.004972,"22,565,834","112,200.34","11,492.22",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
ASHIB/ADA,1,0.00003,"3,472,763,380.12","106,277.12","7,717.52",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
BISON/ADA,0.3,0,"98,208,422,760,093","95,008.77","2,894.72",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MIN/ADA,0.3,0.326567,"283,649.06","92,630.57","112,361.86",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
FIRE/ADA,0.3,0.03267,"2,729,980","89,190.26","7,675.61",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
HOSKY/ADA,0.3,0,"1,002,080,306,642","67,997.9","30,702.46",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
FLICK/ADA,0.3,0.006135,"9,077,600","55,694.45",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
cNETA/ADA,0.3,0.08716,"538,494","46,935.23","4,849.11",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
CNFT/ADA,0.3,0.011709,"3,451,777","40,417.23","8,967.72",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
DRIP/ADA,1,0.00283,"12,121,176.14","34,313.7","7,861.50",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
REVU/ADA,0.3,0.109167,"298,198.13","32,553.48","6,481.12",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
BDOGE/ADA,1,0.005337,"5,821,746","31,075.01",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
unsi…en/ADA,1,39.513087,742,"29,318.71",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
QUID/ADA,0.3,0.017022,"1,681,258","28,619.01",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MONET/ADA,0.3,0.00085,"33,503,680.34","28,508.89",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MELD/ADA,1,0.131209,"217,184.32","28,496.68",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
RAG/ADA,1,0.000729,"28,266,486","20,617.5",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
XDIA…ND/ADA,1,27.247771,730,"19,890.87","3,675.74",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
HOSKY/ADA,0.05,0,"295,857,937,700","19,820.37","3,946.85",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MINt/ADA,0.05,0.108286,"182,794.8","19,794.18",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MIN/ADA,0.05,0.331494,"57,288.45","18,990.82","1,468.14",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
SKULL/ADA,1,0.154061,"114,768","17,681.31","1,039.06",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
CDX/ADA,1,0.445127,"39,298","17,492.63",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
GOKEY/ADA,0.3,0.01288,"1,286,628","16,572.6","3,741.95",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
cMETA/ADA,0.3,0.032805,"475,012","15,582.92",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
CARGO/ADA,0.3,0.39335,"37,691.14","14,825.84","7,259.42",2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
DANA/ADA,0.3,2.413538,"6,053.7","14,610.84",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
KIDZ/ADA,0.3,0.000465,"31,312,526","14,572.2",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
MEOW/ADA,0.3,0,"16,352,411,238","12,422.35",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
WMT/ADA,1,0.812385,"13,838.28","11,242.01",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
Card…rm/ADA,0.3,0.109,"97,894","10,670.52",N/A,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
cbTHC/ADA,0.3,0.049278,"195,917.83","9,654.54",342.43,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
FLANO/ADA,1,0.001185,"8,012,093","9,502.26",137.37,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
LQ/ADA,1,105.472872,85.94,"9,064.54",206.04,2022-02-16 23:15:41.704220,2022-02-16,23:15:41,1395
