Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.730898,"25,581,103.82","18,697,189.54","1,306,170.29",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
LQ/ADA,0.3,106.37743,"148,995.73","15,849,783.2","1,776,362.96",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
WMT/ADA,0.3,0.79119,"13,592,574.51","10,754,313.62","1,398,055.52",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MELD/ADA,0.3,0.135578,"9,955,091.11","1,349,701.05","433,408.56",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
PAVIA/ADA,0.3,0.105473,"10,731,036","1,131,842.07","193,620.47",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
XRAY/ADA,0.3,0.162792,"6,547,139","1,065,824.61","45,278.93",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
ADAX/ADA,0.3,0.330236,"2,552,055","842,782.39","121,902.31",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
AADA/ADA,0.3,2.06867,"375,789.85","777,385.54","137,082.96",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
VYFI/ADA,0.3,1.646245,"327,004.53","538,329.74","114,380.23",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MILK/ADA,0.3,6.52832,"50,398","329,014.28","199,880.79",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
CLAP/ADA,0.3,0.035077,"5,614,782.47","196,954.57","24,800.47",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MINt/ADA,0.3,0.112231,"1,720,904.78","193,140.32","75,645.53",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
CHRLZ/ADA,0.3,0,"6,830,342,139,318","154,569.68","1,365.85",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
DANA/ADA,0.05,2.104518,"71,037.78","149,500.31","71,775.06",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
WMT/ADA,0.05,0.812871,"174,028.86","141,463.12","2,799.33",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
RAVE/ADA,1,0.005501,"21,253,149","116,924.1","6,105.58",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
ASHIB/ADA,1,0.000034,"3,169,803,977.82","110,761.04","1,973.56",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
BISON/ADA,0.3,0,"97,088,145,896,934","97,845.18","1,981.87",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
FIRE/ADA,0.3,0.032969,"2,705,966","89,215.54","7,470.49",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
HOSKY/ADA,0.3,0,"949,387,313,066","70,514.29","47,536.19",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MIN/ADA,0.3,0.348263,"201,738.72","70,258.32","108,863.47",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
FLICK/ADA,0.3,0.005914,"9,221,596","54,545.03","12,715.23",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
SUNDAE/ADA,0.05,0.657312,"82,115.45","53,975.48","1,000.50",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
cNETA/ADA,0.3,0.096777,"508,229","49,184.92","9,440.32",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MELD/ADA,1,0.138095,"326,978.64","45,154.43","2,968.39",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
CNFT/ADA,0.3,0.013022,"3,368,947","43,873.17","3,202.02",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
DRIP/ADA,1,0.003135,"10,895,230.06","34,165.08","19,197.12",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
REVU/ADA,0.3,0.10579,"312,796.26","33,090.96","5,993.36",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
BDOGE/ADA,1,0.005296,"5,890,578","31,198.07","1,822.70",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
unsi…en/ADA,1,41.945935,718,"30,117.18","7,216.41",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
QUID/ADA,0.3,0.017397,"1,659,949","28,879.51","7,494.89",2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
MONET/ADA,0.3,0.000849,"33,536,280.84","28,481.08",478.39,2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
RAG/ADA,1,0.00075,"27,864,987","20,911.59",60.60,2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
HOSKY/ADA,0.05,0,"280,946,566,944","20,810.26",678.24,2022-02-15 05:30:40.508499,2022-02-15,05:30:40,330
