Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.709248,"25,446,753.25","18,048,059.8","1,712,728.35",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
LQ/ADA,0.3,99.404378,"146,913.88","14,603,883.02","1,057,788.16",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
WMT/ADA,0.3,0.814365,"12,722,411.61","10,360,686.94","618,846.52",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MELD/ADA,0.3,0.127724,"10,135,423.6","1,294,537.21","661,075.81",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
PAVIA/ADA,0.3,0.09949,"10,768,688","1,071,381.84","121,809.50",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
XRAY/ADA,0.3,0.165721,"6,428,548","1,065,348.81","58,308.32",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
ADAX/ADA,0.3,0.31465,"2,610,574","821,418.52","132,955.84",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
AADA/ADA,0.3,1.820163,"399,195.95","726,602.1","81,462.52",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
VYFI/ADA,0.3,1.48789,"353,144.07","525,439.64","139,552.74",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MILK/ADA,0.3,6.423585,"50,749","325,990.54","130,016.61",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MINt/ADA,0.3,0.122227,"1,653,634.83","202,118.94","50,773.12",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
CLAP/ADA,0.3,0.034596,"5,632,578.72","194,864.77","21,825.37",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
CHRLZ/ADA,0.3,0,"6,827,856,481,127","155,137.79","3,521.34",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
DANA/ADA,0.05,2.117212,"68,324.8","144,658.12","33,184.85",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
WMT/ADA,0.05,0.812849,"167,239.86","135,940.79","1,900.95",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
RAVE/ADA,1,0.005512,"21,215,353","116,945.69","2,771.48",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
ASHIB/ADA,1,0.000034,"3,167,403,804.14","107,967.25","4,242.85",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
BISON/ADA,0.3,0,"98,981,575,808,047","96,269.73","1,819.81",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
FIRE/ADA,0.3,0.033603,"2,680,212","90,063.8","10,768.62",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
HOSKY/ADA,0.3,0,"941,178,785,812","70,832.73","44,646.94",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MIN/ADA,0.3,0.329088,"204,710.05","67,367.74","191,756.08",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
FLICK/ADA,0.3,0.006101,"9,058,086","55,265.17","11,323.59",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
cNETA/ADA,0.3,0.094068,"513,663","48,319.4","25,656.56",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MELD/ADA,1,0.12941,"343,090.86","44,399.68","2,807.61",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
CNFT/ADA,0.3,0.012988,"3,373,325","43,815.98","5,762.58",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
REVU/ADA,0.3,0.10925,"307,796.26","33,626.89","6,725.91",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
unsi…en/ADA,1,44.621867,691,"30,833.71","7,896.89",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
BDOGE/ADA,1,0.00527,"5,593,112","29,476.5","3,184.48",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
DRIP/ADA,1,0.002903,"9,897,675.72","28,741.38","17,682.65",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MONET/ADA,0.3,0.00084,"33,712,151.33","28,331.8",308.67,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
QUID/ADA,0.3,0.014632,"1,804,411","26,402.58","5,756.39",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
SKULL/ADA,1,0.161645,"153,523","24,816.29","2,841.71",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MINt/ADA,0.05,0.123004,"174,269.07","21,435.85",N/A,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
RAG/ADA,1,0.00075,"27,881,712","20,924.14",468.86,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MIN/ADA,0.05,0.337089,"57,332.89","19,326.31","7,091.02",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
XDIA…ND/ADA,1,25.703697,747,"19,200.66","4,789.29",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
GOKEY/ADA,0.3,0.015911,"1,151,469","18,321.55",231.85,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
HOSKY/ADA,0.05,0,"219,106,492,457","17,305.06",530.65,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
cMETA/ADA,0.3,0.039789,"428,146","17,035.57",836.76,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
CDX/ADA,1,0.42,"40,243","16,902.09","5,357.12",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
MEOW/ADA,0.3,0.000001,"12,907,022,475","15,671.18","5,854.01",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
DANA/ADA,0.3,2.188129,"6,546","14,323.49",N/A,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
CARGO/ADA,0.3,0.299798,"42,370.44","12,702.6","2,843.97",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
WMT/ADA,1,0.768512,"14,465.69","11,117.07",N/A,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
Card…rm/ADA,0.3,0.110195,"97,361","10,728.76",N/A,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
cbTHC/ADA,0.3,0.046783,"201,381.23","9,421.38",68.34,2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
SHIBA/ADA,1,0.000027,"330,339,022","9,011.24","8,197.63",2022-02-14 13:30:41.204131,2022-02-14,13:30:41,810
