Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.742423,"25,587,626.52","18,996,850.9","691,801.72",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
LQ/ADA,0.3,106.992387,"150,829.86","16,137,647.25","1,203,573.39",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
WMT/ADA,0.3,0.809001,"13,775,339.55","11,144,272.24","1,363,605.24",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MELD/ADA,0.3,0.130447,"10,832,787.36","1,413,107.38","427,807.71",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
XRAY/ADA,0.3,0.164721,"6,545,684","1,078,213.53","33,397.63",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
PAVIA/ADA,0.3,0.094341,"11,223,850","1,058,880.02","316,645.62",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
ADAX/ADA,0.3,0.346871,"2,487,977","863,009.35","53,079.77",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
AADA/ADA,0.3,2.058448,"378,595.97","779,320.49","148,325.36",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
VYFI/ADA,0.3,1.643552,"327,681.39","538,561.47","71,198.89",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MILK/ADA,0.3,6.446507,"50,556","325,909.64","83,087.95",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MINt/ADA,0.3,0.115389,"1,730,326.06","199,662.3","68,628.49",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
CLAP/ADA,0.3,0.034239,"5,689,278.66","194,800.29","12,264.95",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
DANA/ADA,0.05,2.257494,"68,594.93","154,852.7","93,229.62",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
CHRLZ/ADA,0.3,0,"6,831,883,678,251","154,535.89","1,091.25",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
WMT/ADA,0.05,0.812871,"174,006.98","141,445.33","2,799.33",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
RAVE/ADA,1,0.005416,"21,452,490","116,186.93","7,898.07",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
ASHIB/ADA,1,0.000033,"3,280,489,101.83","110,624.72","4,109.53",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
BISON/ADA,0.3,0,"97,720,469,986,559","97,216.49","2,674.90",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
FIRE/ADA,0.3,0.034485,"2,647,568","91,302.56","7,922.99",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
SUNDAE/ADA,0.05,0.688636,"114,010.56","78,511.83","2,487.24",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MIN/ADA,0.3,0.333257,"219,754.47","73,234.75","49,478.19",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
HOSKY/ADA,0.3,0,"1,005,157,282,778","67,373.32","37,991.11",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
FLICK/ADA,0.3,0.006214,"8,999,007","55,925.5","13,125.95",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
SUNDAE/ADA,1,0.708963,"77,897.52","55,226.51","2,822.29",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
cNETA/ADA,0.3,0.088963,"529,292","47,087.59","10,329.11",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
CNFT/ADA,0.3,0.013457,"3,216,964","43,292.74","4,163.07",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MELD/ADA,1,0.131209,"307,204.11","40,308.15","2,517.04",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
REVU/ADA,0.3,0.105743,"312,899.55","33,087.16","2,971.01",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
DRIP/ADA,1,0.002635,"12,069,797.8","31,804.74","17,035.76",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
BDOGE/ADA,1,0.005446,"5,809,491","31,641.09","1,956.87",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
unsi…en/ADA,1,43.634466,705,"30,762.29","3,662.64",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
QUID/ADA,0.3,0.017296,"1,664,887","28,797.23","3,304.25",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MONET/ADA,0.3,0.000849,"33,523,372.24","28,492.08",244.55,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
RAG/ADA,1,0.000737,"28,117,008","20,726.01",185.58,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MINt/ADA,0.05,0.111367,"182,755.14","20,353.06","2,240.41",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
HOSKY/ADA,0.05,0,"290,654,481,888","20,021","1,420.28",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
XDIA…ND/ADA,1,27.143593,729,"19,787.67",620.90,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
GOKEY/ADA,0.3,0.016861,"1,125,784","18,982.15",270.40,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MIN/ADA,0.05,0.314679,"58,841.07","18,516.07","4,129.30",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
SKULL/ADA,1,0.16519,"110,825","18,307.19","1,848.78",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
CDX/ADA,1,0.436189,"39,549","17,250.85","2,097.13",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
cMETA/ADA,0.3,0.04007,"429,673","17,217.02",258.04,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
DANA/ADA,0.3,2.188129,"6,587.41","14,414.11",N/A,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
KIDZ/ADA,0.3,0.000411,"33,377,079","13,732.65","11,684.74",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
MEOW/ADA,0.3,0,"15,286,442,250","13,281.36","3,807.62",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
CARGO/ADA,0.3,0.309014,"41,554.99","12,841.11","1,981.21",2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
Card…rm/ADA,0.3,0.109167,"97,819","10,678.67",50.08,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
WMT/ADA,1,0.768512,"13,807.44","10,611.19",N/A,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
FLANO/ADA,1,0.001177,"8,027,761","9,455.39",40.40,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
cbTHC/ADA,0.3,0.046783,"201,383.07","9,421.46",N/A,2022-02-15 18:30:41.532812,2022-02-15,18:30:41,1110
