Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.754725,"26,251,501.49","19,812,665.27","1,024,508.75",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
LQ/ADA,0.3,110.280664,"155,644.95","17,164,629.42","965,266.86",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
WMT/ADA,0.3,0.878494,"15,340,350.88","13,476,419.8","1,055,749.50",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MELD/ADA,0.3,0.13137,"12,754,501.53","1,675,570.6","533,676.56",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
PAVIA/ADA,0.3,0.091756,"12,943,940","1,187,694.57","452,943.29",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
XRAY/ADA,0.3,0.146353,"6,594,424","965,114.64","111,832.48",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
ADAX/ADA,0.3,0.352809,"2,481,961","875,658.22","65,383.18",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
AADA/ADA,0.3,2.087599,"412,234.44","860,580.28","418,976.11",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
VYFI/ADA,0.3,1.579044,"335,011.69","528,998.34","303,710.31",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MILK/ADA,0.3,5.913492,"56,321","333,053.82","281,818.87",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MINt/ADA,0.3,0.10033,"1,768,192.68","177,404.3","57,436.24",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
CLAP/ADA,0.3,0.026915,"6,439,275.13","173,315.71","53,740.96",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
DANA/ADA,0.05,2.135321,"72,511.96","154,836.35","78,563.07",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
CHRLZ/ADA,0.3,0,"6,829,032,618,095","154,602.14",511.57,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
SUNDAE/ADA,0.05,0.758378,"181,241.91","137,450.01","5,102.55",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
WMT/ADA,0.05,0.867273,"147,068.96","127,549","2,801.40",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
RAVE/ADA,1,0.004707,"23,275,872","109,577.12","8,381.28",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
BISON/ADA,0.3,0,"93,342,090,139,678","99,992.51","10,271.88",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
ASHIB/ADA,1,0.000027,"3,534,890,395.62","96,934.81","6,395.10",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
FIRE/ADA,0.3,0.033795,"2,687,271","90,818.82","5,347.51",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MIN/ADA,0.3,0.320354,"267,940.39","85,836.03","72,096.42",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
HOSKY/ADA,0.3,0,"1,062,966,660,400","64,420.82","26,810.50",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
FLICK/ADA,0.3,0.00642,"8,874,248","56,975.94","2,117.17",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
cNETA/ADA,0.3,0.090108,"527,806","47,559.86","6,660.57",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
CNFT/ADA,0.3,0.011762,"3,444,165","40,512.19","2,335.73",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
DRIP/ADA,1,0.002823,"12,624,518.26","35,648.62","11,805.02",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
REVU/ADA,0.3,0.112737,"293,691.65","33,110.14","21,009.58",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
unsi…en/ADA,1,49.444592,665,"32,880.65","8,264.69",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
BDOGE/ADA,1,0.005337,"5,657,663","30,199.17",N/A,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MONET/ADA,0.3,0.000851,"33,491,967.69","28,518.89",30.09,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MELD/ADA,1,0.129244,"219,936.9","28,425.66",214.17,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
QUID/ADA,0.3,0.016453,"1,710,300","28,139.68","2,089.12",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
RAG/ADA,1,0.000729,"28,266,486","20,617.5",N/A,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
XDIA…ND/ADA,1,25.930284,749,"19,421.78","1,552.48",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MINt/ADA,0.05,0.104083,"183,460.82","19,095.19","3,314.28",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
HOSKY/ADA,0.05,0,"321,438,012,157","18,670.17","2,600.69",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MIN/ADA,0.05,0.305036,"59,977.33","18,295.25","1,510.13",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
KIDZ/ADA,0.3,0.000638,"26,744,442","17,072.43","3,595.89",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
SKULL/ADA,1,0.142336,"119,932","17,070.66","1,091.31",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
CDX/ADA,1,0.419855,"40,484","16,997.43","1,857.00",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
GOKEY/ADA,0.3,0.013248,"1,268,804","16,810.22","5,318.32",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
cMETA/ADA,0.3,0.032847,"474,709","15,592.92",680.30,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
CARGO/ADA,0.3,0.40558,"38,232.56","15,506.39","4,108.84",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
DANA/ADA,0.3,2.117409,"6,463.79","13,686.49","1,626.44",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
LQ/ADA,0.05,108.504184,121.76,"13,211.75",215.22,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
MEOW/ADA,0.3,0,"15,745,841,087","12,902.35","1,840.53",2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
WMT/ADA,1,0.849174,"13,536.68","11,495.01",558.53,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
Card…rm/ADA,0.3,0.109,"97,894","10,670.52",N/A,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
cbTHC/ADA,0.3,0.04938,"195,716.93","9,664.52",90.85,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
FLANO/ADA,1,0.001187,"8,007,922","9,507.26",16.61,2022-02-17 15:00:41.066689,2022-02-17,15:00:41,900
