Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.760952,"26,165,362.36","19,910,586.57","1,137,757.15",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
LQ/ADA,0.3,109.988737,"156,049.16","17,163,650.24","887,321.26",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
WMT/ADA,0.3,0.883924,"15,322,828.57","13,544,231.08","843,708.01",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MELD/ADA,0.3,0.130934,"12,793,325.91","1,675,084.56","507,577.52",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
PAVIA/ADA,0.3,0.095362,"12,729,298","1,213,898.25","464,286.97",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
XRAY/ADA,0.3,0.147927,"6,529,525","965,897.15","114,569.88",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
ADAX/ADA,0.3,0.349755,"2,491,968","871,578.74","63,473.97",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
AADA/ADA,0.3,2.022676,"420,073.14","849,672.06","375,448.23",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
VYFI/ADA,0.3,1.553456,"337,776.5","524,720.98","314,121.38",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MILK/ADA,0.3,5.712693,"57,430","328,079.98","298,174.39",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MINt/ADA,0.3,0.099326,"1,777,245.82","176,527.5","60,152.99",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
CLAP/ADA,0.3,0.027013,"6,427,541.11","173,633.39","54,640.64",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
CHRLZ/ADA,0.3,0,"6,835,126,744,319","154,464.71",438.00,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
DANA/ADA,0.05,2.085012,"73,584.05","153,423.67","72,472.91",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
WMT/ADA,0.05,0.867273,"145,993","126,615.85","2,801.40",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
RAVE/ADA,1,0.004759,"23,148,451","110,186.4","8,689.48",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
SUNDAE/ADA,0.05,0.758378,"138,894.36","105,334.53","5,102.55",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
BISON/ADA,0.3,0,"93,482,769,276,942","99,842.57","10,206.94",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
ASHIB/ADA,1,0.000028,"3,472,488,843.82","98,745.58","7,860.10",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
FIRE/ADA,0.3,0.033027,"2,718,422","89,783","6,102.39",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MIN/ADA,0.3,0.31177,"271,629.32","84,685.92","66,260.12",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
HOSKY/ADA,0.3,0,"1,163,254,331,706","59,447.69","41,227.70",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
FLICK/ADA,0.3,0.006464,"8,854,743","57,245.11","2,227.64",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
cNETA/ADA,0.3,0.089283,"530,327","47,349.51","8,310.72",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
CNFT/ADA,0.3,0.011762,"3,444,165","40,512.19","2,012.18",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
DRIP/ADA,1,0.002764,"12,801,981.31","35,394.78","11,594.59",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
REVU/ADA,0.3,0.119342,"287,599.51","34,322.72","21,730.39",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
unsi…en/ADA,1,49.444592,665,"32,880.65","6,266.15",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
BDOGE/ADA,1,0.005154,"5,757,663","29,679.82",519.35,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MONET/ADA,0.3,0.000851,"33,491,967.69","28,518.89",30.09,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MELD/ADA,1,0.129244,"219,936.9","28,425.66",214.17,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
QUID/ADA,0.3,0.016605,"1,702,462","28,269.73","2,209.48",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
RAG/ADA,1,0.000745,"27,964,362","20,842.5",235.76,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
XDIA…ND/ADA,1,26.244705,745,"19,552.3","1,630.52",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MINt/ADA,0.05,0.104083,"183,460.82","19,095.19","2,449.24",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MIN/ADA,0.05,0.305036,"59,977.33","18,295.25","1,510.13",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
SKULL/ADA,1,0.138836,"123,932","17,206.27","1,347.26",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
KIDZ/ADA,0.3,0.000643,"26,682,470","17,162.43","3,652.52",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
CDX/ADA,1,0.409603,"40,995","16,791.7","2,666.73",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
HOSKY/ADA,0.05,0,"353,198,564,484","16,764.43","4,380.92",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
CARGO/ADA,0.3,0.439846,"37,675.63","16,571.5","4,417.41",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
GOKEY/ADA,0.3,0.011221,"1,389,743","15,595.6","5,196.46",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
cMETA/ADA,0.3,0.032847,"474,709","15,592.92",478.54,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
DANA/ADA,0.3,2.117409,"6,463.79","13,686.49","1,626.44",2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
MEOW/ADA,0.3,0,"15,745,841,087","12,902.35",834.07,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
WMT/ADA,1,0.849174,"13,355.9","11,341.5",558.53,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
Card…rm/ADA,0.3,0.109,"97,894","10,670.52",N/A,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
cbTHC/ADA,0.3,0.04938,"195,716.93","9,664.52",90.85,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
FLANO/ADA,1,0.001187,"8,007,922","9,507.26",16.61,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
LQ/ADA,0.05,108.504182,87.35,"9,478.81",215.22,2022-02-17 18:15:39.387141,2022-02-17,18:15:39,1095
