Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.672605,"23,655,455.95","15,910,799.67","1,841,824.02",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
LQ/ADA,0.3,91.985708,"145,168.54","13,353,431.9","857,411.67",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
WMT/ADA,0.3,0.809122,"12,480,390.75","10,098,165.09","773,081.52",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MELD/ADA,0.3,0.126215,"10,150,965.6","1,281,209.12","661,516.81",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
PAVIA/ADA,0.3,0.096771,"12,260,843","1,186,503.5","242,576.66",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
XRAY/ADA,0.3,0.169263,"6,348,520","1,074,574.63","43,510.06",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
ADAX/ADA,0.3,0.289751,"2,719,943","788,107.52","176,134.02",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
AADA/ADA,0.3,1.895792,"391,078.49","741,403.85","55,827.93",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
VYFI/ADA,0.3,1.714499,"334,474.03","573,455.56","103,840.50",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MILK/ADA,0.3,6.379692,"50,918","324,841.18","105,559.10",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MINt/ADA,0.3,0.130851,"1,592,831.7","208,424.69","49,078.30",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
CLAP/ADA,0.3,0.034527,"5,614,108.95","193,843.05","15,573.18",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
CHRLZ/ADA,0.3,0,"6,809,637,748,895","155,596.58","16,927.02",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
DANA/ADA,0.05,2.17078,"67,502.28","146,532.66","20,136.97",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
WMT/ADA,0.05,0.812849,"172,403.24","140,137.85","3,301.65",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
ASHIB/ADA,1,0.000033,"3,172,332,084.42","107,705.25","4,518.82",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
BISON/ADA,0.3,0,"98,842,801,954,061","95,917.28","3,056.54",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
FIRE/ADA,0.3,0.037171,"2,548,111","94,717.9","37,620.00",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
HOSKY/ADA,0.3,0,"931,272,096,045","77,286.23","43,023.47",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MIN/ADA,0.3,0.294862,"206,007.25","60,743.77","128,309.98",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
FLICK/ADA,0.3,0.006005,"9,374,216","56,300.05","11,083.38",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
cNETA/ADA,0.3,0.094428,"499,475","47,164.68","42,760.71",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MELD/ADA,1,0.120907,"354,491.41","42,860.72","1,303.72",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
CNFT/ADA,0.3,0.01181,"3,554,118","41,975.61","2,985.12",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
REVU/ADA,0.3,0.114345,"301,897.4","34,520.65","5,412.76",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
unsi…en/ADA,1,44.869986,687,"30,825.68","11,583.19",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
BDOGE/ADA,1,0.0054,"5,304,436","28,644.47","3,117.80",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
MONET/ADA,0.3,0.000835,"33,812,263.52","28,247.18",113.94,2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
DRIP/ADA,1,0.003002,"9,361,596.76","28,107.26","11,539.62",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
QUID/ADA,0.3,0.013861,"1,848,330","25,619.83","1,451.10",2022-02-14 01:15:45.590267,2022-02-14,01:15:45,75
