Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.70587,"25,421,222","17,944,086.77","1,769,216.27",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
LQ/ADA,0.3,99.774305,"146,512.04","14,618,137.14","1,007,712.79",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
WMT/ADA,0.3,0.815729,"12,600,283.94","10,278,422.22","654,932.24",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MELD/ADA,0.3,0.126163,"10,371,318.89","1,308,477.32","657,711.48",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
PAVIA/ADA,0.3,0.100907,"10,645,391","1,074,204.36","128,007.66",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
XRAY/ADA,0.3,0.16546,"6,407,088","1,060,121.39","57,035.97",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
ADAX/ADA,0.3,0.305671,"2,647,805","809,359.78","95,718.08",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
AADA/ADA,0.3,1.809712,"400,297.68","724,423.63","75,088.11",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
VYFI/ADA,0.3,1.489688,"352,368.22","524,918.83","132,799.23",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MILK/ADA,0.3,5.843165,"53,245","311,119.36","111,757.55",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MINt/ADA,0.3,0.126356,"1,626,214.03","205,482.23","39,028.99",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
CLAP/ADA,0.3,0.034434,"5,645,372.5","194,396.7","15,907.05",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
CHRLZ/ADA,0.3,0,"6,827,856,481,127","155,137.79","3,571.49",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
DANA/ADA,0.05,2.039667,"69,659.74","142,082.7","27,972.57",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
WMT/ADA,0.05,0.812849,"168,894.16","137,285.49","1,900.95",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
RAVE/ADA,1,0.005498,"21,091,665","115,964.63","3,483.42",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
ASHIB/ADA,1,0.000034,"3,168,153,643.97","107,920.42","4,664.66",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
BISON/ADA,0.3,0,"98,904,432,707,846","96,052.9","2,521.40",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
FIRE/ADA,0.3,0.033826,"2,671,337","90,361.26","10,202.82",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
HOSKY/ADA,0.3,0,"927,978,064,645","71,509.35","46,136.47",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MIN/ADA,0.3,0.336385,"201,309.85","67,717.77","175,954.65",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
FLICK/ADA,0.3,0.006101,"9,050,941","55,221.58","11,571.71",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
cNETA/ADA,0.3,0.094776,"502,782","47,651.82","25,260.07",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MELD/ADA,1,0.12941,"342,704.76","44,349.72","2,807.61",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
CNFT/ADA,0.3,0.012813,"3,396,288","43,518.82","5,464.53",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
REVU/ADA,0.3,0.10925,"307,796.26","33,626.89","8,707.90",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
unsi…en/ADA,1,47.324394,670,"31,707.34","9,044.35",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
BDOGE/ADA,1,0.00527,"5,593,112","29,476.5","3,189.53",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
DRIP/ADA,1,0.002983,"9,804,041.24","29,252.1","17,263.43",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MONET/ADA,0.3,0.000839,"33,735,894.79","28,311.8",288.61,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
QUID/ADA,0.3,0.014223,"1,824,803","25,954.81","3,111.60",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
SKULL/ADA,1,0.156598,"155,964","24,423.67","2,445.16",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MINt/ADA,0.05,0.123004,"174,269.07","21,435.85",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
RAG/ADA,1,0.000746,"27,961,090","20,864.14",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MIN/ADA,0.05,0.337089,"57,332.89","19,326.31","7,091.02",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
XDIA…ND/ADA,1,25.703697,747,"19,200.66","4,789.29",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
GOKEY/ADA,0.3,0.016247,"1,139,491","18,513.54",35.85,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
HOSKY/ADA,0.05,0,"219,106,492,457","17,305.06","1,130.95",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
cMETA/ADA,0.3,0.039347,"430,539","16,940.57",823.98,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
CDX/ADA,1,0.42,"40,243","16,902.09","5,413.52",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
MEOW/ADA,0.3,0.000001,"12,923,466,341","15,651.18","5,833.95",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
DANA/ADA,0.3,2.188129,"6,546","14,323.49",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
CARGO/ADA,0.3,0.316136,"41,259.44","13,043.62","2,502.95",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
WMT/ADA,1,0.768512,"14,465.69","11,117.07",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
Card…rm/ADA,0.3,0.110195,"97,361","10,728.76",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
cbTHC/ADA,0.3,0.046783,"201,381.23","9,421.38",68.34,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
SHIBA/ADA,1,0.000025,"338,242,509","8,788.55","7,337.51",2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
DRIP/ADA,0.3,0.003002,"2,911,245.76","8,740.33",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
FLANO/ADA,1,0.001167,"7,422,752","8,665.39",N/A,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
FIRE/ADA,1,0.000192,"42,786,679","8,225.67",725.23,2022-02-14 11:00:41.150258,2022-02-14,11:00:41,660
