Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.725531,"25,307,419.24","18,361,318.33","1,890,982.98",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
LQ/ADA,0.3,101.419757,"147,519.18","14,961,360.19","1,309,082.11",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
WMT/ADA,0.3,0.827199,"12,722,305.1","10,523,885.98","617,086.21",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MELD/ADA,0.3,0.126037,"10,242,555.98","1,290,944.1","476,035.66",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
PAVIA/ADA,0.3,0.10188,"12,295,989","1,252,719.95","177,179.25",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
XRAY/ADA,0.3,0.16096,"6,525,556","1,050,358.62","59,044.63",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
ADAX/ADA,0.3,0.315694,"2,606,425","822,833.68","118,803.84",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
AADA/ADA,0.3,1.808035,"401,546.65","726,010.41","64,162.44",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
VYFI/ADA,0.3,1.526874,"332,647.09","507,910.29","124,504.79",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MILK/ADA,0.3,6.621741,"49,913","330,510.97","182,419.03",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MINt/ADA,0.3,0.128299,"1,608,922.24","206,423.39","52,592.20",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
CLAP/ADA,0.3,0.034146,"5,679,224.92","193,928.36","19,570.00",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
CHRLZ/ADA,0.3,0,"6,828,541,503,677","155,122.27",850.61,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
DANA/ADA,0.05,2.059712,"69,224.13","142,581.79","45,869.38",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
WMT/ADA,0.05,0.812849,"166,055.51","134,978.1",N/A,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
RAVE/ADA,1,0.005423,"21,406,963","116,104.13","3,792.72",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
ASHIB/ADA,1,0.000034,"3,165,143,734.83","108,065.19",948.07,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
BISON/ADA,0.3,0,"98,305,076,066,387","96,684.81","1,718.91",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
FIRE/ADA,0.3,0.032824,"2,711,884","89,016.39","9,857.21",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
HOSKY/ADA,0.3,0,"886,818,072,493","75,108.66","43,194.05",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MIN/ADA,0.3,0.31737,"209,844.31","66,598.48","165,304.69",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
FLICK/ADA,0.3,0.006189,"9,012,062","55,779.36","4,741.06",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
cNETA/ADA,0.3,0.096149,"509,128","48,952.27","18,249.24",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
CNFT/ADA,0.3,0.012988,"3,373,325","43,815.98","4,640.80",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MELD/ADA,1,0.12941,"337,451.46","43,669.88","1,503.89",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
REVU/ADA,0.3,0.10925,"307,796.26","33,626.89","5,514.52",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
BDOGE/ADA,1,0.005472,"5,794,588","31,708.92","3,198.57",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
unsi…en/ADA,1,45.473946,686,"31,195.12","5,792.11",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
DRIP/ADA,1,0.002875,"9,923,883.01","28,540.46","19,432.05",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MONET/ADA,0.3,0.000839,"33,737,052.55","28,311.08",371.67,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
QUID/ADA,0.3,0.014763,"1,797,916","26,542.93","5,640.93",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
SKULL/ADA,1,0.163845,"152,594","25,001.91","2,819.85",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MINt/ADA,0.05,0.123004,"174,293.46","21,438.85",N/A,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
RAG/ADA,1,0.00075,"27,894,910","20,934.05",308.05,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
XDIA…ND/ADA,1,26.227726,740,"19,408.51","4,999.22",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
MIN/ADA,0.05,0.337089,"56,851.04","19,163.89","5,125.21",2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
GOKEY/ADA,0.3,0.016594,"1,127,575","18,711.63",843.27,2022-02-14 19:45:56.132434,2022-02-14,19:45:56,1185
