Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.734107,"25,599,791.4","18,793,008.61","874,072.04",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
LQ/ADA,0.3,106.185893,"149,252.53","15,848,514.16","1,783,348.39",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
WMT/ADA,0.3,0.804118,"13,592,777.98","10,930,204.87","1,420,644.52",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
MELD/ADA,0.3,0.134995,"10,470,485.46","1,413,463.58","413,324.18",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
PAVIA/ADA,0.3,0.10761,"10,637,678","1,144,725.86","207,114.55",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
XRAY/ADA,0.3,0.163028,"6,543,322","1,066,747.96","31,431.36",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
ADAX/ADA,0.3,0.339822,"2,515,885","854,954.19","102,868.26",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
AADA/ADA,0.3,2.053913,"377,142.31","774,617.64","128,823.72",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
VYFI/ADA,0.3,1.625525,"329,098.07","534,957.29","123,606.78",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
MILK/ADA,0.3,6.460373,"50,816","328,290.33","195,436.84",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
CLAP/ADA,0.3,0.03513,"5,610,607.47","197,101.57","22,086.80",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
MINt/ADA,0.3,0.112139,"1,721,671.89","193,068.02","77,921.38",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
CHRLZ/ADA,0.3,0,"6,825,138,696,516","154,687.98","1,344.23",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
DANA/ADA,0.05,2.215645,"69,235.48","153,401.28","88,773.64",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
WMT/ADA,0.05,0.812871,"175,619.8","142,756.35","2,799.33",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
RAVE/ADA,1,0.005419,"21,415,291","116,050.6","6,655.79",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
ASHIB/ADA,1,0.000034,"3,166,530,639.28","110,771.74","2,018.37",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
BISON/ADA,0.3,0,"97,209,235,408,203","97,723.73","1,952.30",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
FIRE/ADA,0.3,0.033065,"2,702,071","89,344.54","3,722.85",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
HOSKY/ADA,0.3,0,"967,987,467,429","68,968.38","47,298.66",2022-02-15 08:45:39.780382,2022-02-15,08:45:39,525
