Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.725518,"25,529,276.38","18,521,952.64","1,873,310.97",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
LQ/ADA,0.3,101.297322,"148,125.36","15,004,703.33","1,362,266.31",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
WMT/ADA,0.3,0.829613,"12,762,561.24","10,587,989.57","599,860.32",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MELD/ADA,0.3,0.127478,"10,230,504.72","1,304,171.5","422,281.45",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
PAVIA/ADA,0.3,0.100455,"10,820,136","1,086,942.53","181,598.75",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
XRAY/ADA,0.3,0.162295,"6,545,123","1,062,244.03","45,903.85",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
ADAX/ADA,0.3,0.322297,"2,579,811","831,465.91","125,223.98",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
AADA/ADA,0.3,2.03937,"378,131.78","771,150.99","123,129.57",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
VYFI/ADA,0.3,1.592468,"331,804.99","528,389.09","131,812.28",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MILK/ADA,0.3,6.626133,"49,715","329,418.21","170,668.78",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MINt/ADA,0.3,0.128818,"1,605,680.29","206,841.91",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
CLAP/ADA,0.3,0.03362,"5,720,421.3","192,323.76","20,246.51",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
CHRLZ/ADA,0.3,0,"6,828,513,858,933","155,122.9",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
DANA/ADA,0.05,2.147926,"67,788.71","145,605.14","51,705.25",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
WMT/ADA,0.05,0.812849,"165,847.95","134,809.38",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
RAVE/ADA,1,0.005625,"21,021,337","118,255.55","4,710.88",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
ASHIB/ADA,1,0.000034,"3,142,937,688.18","109,342.02","1,713.94",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
BISON/ADA,0.3,0,"98,254,402,494,634","96,734.8","1,406.87",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
FIRE/ADA,0.3,0.032824,"2,711,884","89,016.39",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
HOSKY/ADA,0.3,0,"906,391,404,116","73,487.94","46,687.03",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MIN/ADA,0.3,0.315105,"210,611.66","66,364.86","133,541.25",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
FLICK/ADA,0.3,0.006453,"8,826,276","56,961.59","5,082.03",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
cNETA/ADA,0.3,0.097279,"505,774","49,201.36","12,079.46",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
CNFT/ADA,0.3,0.013006,"3,371,024","43,845.98","3,423.92",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MELD/ADA,1,0.12941,"337,718.46","43,704.43",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
REVU/ADA,0.3,0.10925,"307,796.26","33,626.89",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
BDOGE/ADA,1,0.005472,"5,794,588","31,708.92",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
DRIP/ADA,1,0.003392,"9,133,180.41","30,987.05","18,593.27",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
unsi…en/ADA,1,39.647952,735,"29,141.24","6,857.46",2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MONET/ADA,0.3,0.000839,"33,737,052.55","28,311.08",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
QUID/ADA,0.3,0.014785,"1,796,567","26,562.93",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
SKULL/ADA,1,0.168122,"150,701","25,336.27",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
HOSKY/ADA,0.05,0,"272,369,873,962","21,511.81",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MINt/ADA,0.05,0.123004,"174,293.46","21,438.85",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
RAG/ADA,1,0.00075,"27,894,910","20,934.05",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
XDIA…ND/ADA,1,26.47761,737,"19,513.99",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
MIN/ADA,0.05,0.337089,"56,851.04","19,163.89",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
GOKEY/ADA,0.3,0.016594,"1,127,575","18,711.63",N/A,2022-02-14 22:15:39.659073,2022-02-14,22:15:39,1335
