Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.725378,"25,529,712.94","18,518,705.63","1,911,874.24",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
LQ/ADA,0.3,101.257252,"148,108.06","14,997,015.67","1,354,136.64",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
WMT/ADA,0.3,0.827689,"12,741,096.31","10,545,668.97","598,760.63",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
MELD/ADA,0.3,0.12709,"10,242,900.81","1,301,771.31","450,072.70",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
PAVIA/ADA,0.3,0.100687,"10,812,441","1,088,675","182,638.51",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
XRAY/ADA,0.3,0.161986,"6,505,574","1,053,813.53","47,924.89",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
ADAX/ADA,0.3,0.318484,"2,595,181","826,526.17","122,323.06",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
AADA/ADA,0.3,2.050175,"377,132.57","773,187.93","121,571.39",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
VYFI/ADA,0.3,1.574316,"333,709.59","525,364.36","131,308.49",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
MILK/ADA,0.3,6.625585,"49,717","329,404.21","182,720.71",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
MINt/ADA,0.3,0.128818,"1,605,680.29","206,841.91",N/A,2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
CLAP/ADA,0.3,0.033833,"5,702,387.64","192,930.15","19,883.66",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
CHRLZ/ADA,0.3,0,"6,828,513,858,933","155,122.9",N/A,2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
DANA/ADA,0.05,2.074818,"68,972.36","143,105.14","49,715.01",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
WMT/ADA,0.05,0.812849,"165,847.95","134,809.38",N/A,2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
RAVE/ADA,1,0.005424,"21,405,244","116,113.55",N/A,2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
ASHIB/ADA,1,0.000034,"3,142,226,108.73","109,317.27","1,983.32",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
BISON/ADA,0.3,0,"98,305,061,770,358","96,684.8","1,359.73",2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
FIRE/ADA,0.3,0.032824,"2,711,884","89,016.39",N/A,2022-02-14 21:45:43.423006,2022-02-14,21:45:43,1305
