Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.744327,"25,685,283.21","19,118,266.03","319,998.55",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
LQ/ADA,0.3,105.071794,"154,597.61","16,243,849.23","694,551.72",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
WMT/ADA,0.3,0.864459,"14,687,899.23","12,697,100.26","1,370,060.13",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MELD/ADA,0.3,0.129363,"11,850,294.33","1,532,992.08","511,004.89",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
PAVIA/ADA,0.3,0.083411,"12,421,732","1,036,114.52","741,396.42",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
XRAY/ADA,0.3,0.160609,"6,436,225","1,033,721.46","22,410.48",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
ADAX/ADA,0.3,0.363434,"2,444,525","888,424.89","46,862.01",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
AADA/ADA,0.3,2.079058,"392,273.3","815,559.14","584,296.62",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
VYFI/ADA,0.3,1.633163,"328,729.57","536,869.3","64,319.58",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MILK/ADA,0.3,6.630884,"51,070","338,639.27","145,855.45",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MINt/ADA,0.3,0.108574,"1,812,296.42","196,769.96","48,165.50",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
CLAP/ADA,0.3,0.032891,"5,819,789.2","191,419.93","13,421.35",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
DANA/ADA,0.05,2.396065,"68,263.09","163,562.86","127,626.87",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
CHRLZ/ADA,0.3,0,"6,825,777,016,738","154,675.05",301.50,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
WMT/ADA,0.05,0.847085,"155,013.26","131,309.42","2,801.40",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
SUNDAE/ADA,0.05,0.69329,"182,993.84","126,867.98",354.08,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
RAVE/ADA,1,0.005022,"22,450,699","112,758.91","10,892.60",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
ASHIB/ADA,1,0.00003,"3,473,762,855.56","106,228.1","7,910.33",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
BISON/ADA,0.3,0,"98,212,365,896,535","95,026.24","2,807.69",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MIN/ADA,0.3,0.329132,"280,284.12","92,250.48","118,375.77",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
FIRE/ADA,0.3,0.032212,"2,749,279","88,562.13","9,177.59",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
HOSKY/ADA,0.3,0,"1,039,948,841,844","65,446.78","47,157.72",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
FLICK/ADA,0.3,0.006135,"9,077,600","55,694.45","5,274.86",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
cNETA/ADA,0.3,0.089962,"529,968","47,677.3","5,167.02",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
CNFT/ADA,0.3,0.011777,"3,441,777","40,534.31","10,562.22",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
DRIP/ADA,1,0.002565,"12,725,578.48","32,645.81","7,125.77",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
REVU/ADA,0.3,0.108833,"298,637.96","32,501.81","7,532.86",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
BDOGE/ADA,1,0.005337,"5,821,746","31,075.01",313.23,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
unsi…en/ADA,1,39.40607,743,"29,278.71","6,163.01",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MELD/ADA,1,0.131209,"219,441.27","28,792.81",N/A,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
QUID/ADA,0.3,0.017042,"1,680,252","28,636.09","2,227.84",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MONET/ADA,0.3,0.00085,"33,503,680.34","28,508.89",23.24,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
RAG/ADA,1,0.000729,"28,266,486","20,617.5",294.09,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MINt/ADA,0.05,0.108286,"182,794.8","19,794.18","1,435.32",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
XDIA…ND/ADA,1,26.438263,741,"19,590.75","3,488.25",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
HOSKY/ADA,0.05,0,"305,383,960,021","19,182.95","5,251.77",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MIN/ADA,0.05,0.306404,"59,564.88","18,250.96","1,225.02",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
GOKEY/ADA,0.3,0.015135,"1,186,782","17,962.67","2,347.87",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
SKULL/ADA,1,0.152763,"115,252","17,606.31","1,805.03",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
CDX/ADA,1,0.445127,"39,298","17,492.63","1,186.56",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
LQ/ADA,0.05,108.504191,151.56,"16,445.97",215.22,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
cMETA/ADA,0.3,0.032805,"475,012","15,582.92","2,806.74",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
DANA/ADA,0.3,2.413538,"6,053.7","14,610.84",702.10,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
CARGO/ADA,0.3,0.381021,"38,292.17","14,590.13","14,477.10",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
KIDZ/ADA,0.3,0.000465,"31,312,526","14,572.2","1,881.78",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
MEOW/ADA,0.3,0,"16,687,250,308","12,172.35","2,105.41",2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
WMT/ADA,1,0.812385,"14,770.19","11,999.08",303.00,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
Card…rm/ADA,0.3,0.109,"97,894","10,670.52",8.16,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
cbTHC/ADA,0.3,0.049031,"196,723.57","9,645.64",266.66,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
FLANO/ADA,1,0.001183,"8,021,655","9,490.82",227.94,2022-02-16 20:16:07.620156,2022-02-16,20:16:07,1216
